stage,instance,arm,repetition,status,optimize_count,presolve_count,root_relaxation_count,lp_optimize_count,terminal_mip_optimize_count,split_count,declined_split_count,final_leaf_count,open_leaf_count,model_count,model_read_count,model_free_count,environment_count,environment_free_count,same_leaf_model_reuse_count,integer_domain_restore_count,work,lp_work,terminal_mip_work,peak_memory_gb,lifecycle_complete
stage1,high_imbalance_seed3202,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,89,89,23,66,23,41,0,42,18,89,89,89,1,1,0,0,537.9700231547146,44.13672921379331,493.8332939409213,0.095879256,True
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,93,93,25,68,25,32,0,36,9,68,68,68,1,1,25,68,577.0638739734727,45.12717780623104,531.9366961672417,0.112608476,True
stage1,moderate_seed3302,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,133,133,18,115,18,97,0,98,81,133,133,133,1,1,0,0,469.7018183654042,81.31945946304744,388.3823589023567,0.087584862,True
stage1,moderate_seed3302,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,163,163,20,143,20,70,0,74,55,143,143,143,1,1,20,143,514.7351730809264,97.95902256806225,416.77615051286415,0.187795396,True
stage1,moderate_seed6301,C3-REPLICA,0,paper_hga_global_deadline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False
stage1,moderate_seed6301,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,28,28,2,26,2,11,0,15,10,26,26,26,1,1,2,26,643.7209013052063,442.5240677899971,201.19683351520916,0.672895835,True
stage1,tight_T_seed3101,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,540,540,176,364,176,186,0,187,9,540,540,540,1,1,0,0,476.0238000739585,291.3443429393155,184.67945713464317,0.055520843,True
stage1,tight_T_seed3101,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,39,39,9,30,9,9,5,13,3,30,30,30,1,1,9,30,543.6235730705707,23.46352216663424,520.1600509039365,0.183179874,True
stage1,V12_M1,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,334,334,103,231,103,120,0,121,11,334,334,334,1,1,0,0,375.83611723843,43.451742406736905,332.384374831693,0.043116898,True
stage1,V12_M1,C4-CANDIDATE,0,optimal,233,233,69,164,69,77,3,81,0,164,164,164,1,1,69,164,172.85109000753008,30.732874329038196,142.1182156784919,0.067132739,True
stage1,V12_M2,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,160,160,48,112,48,58,0,59,6,160,160,160,1,1,0,0,471.2460872190688,30.755674756898127,440.4904124621707,0.09070989,True
stage1,V12_M2,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,160,160,48,112,48,54,0,58,4,112,112,112,1,1,48,112,484.165219455399,30.873837965497756,453.29138148990126,0.115857951,True
stage2,high_imbalance_seed3202,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,586.602245169789,0,0,0.083790792,True
stage2,high_imbalance_seed4201,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,47,47,3,44,3,38,0,39,34,47,47,47,1,1,0,0,496.40142828460546,30.07435268774823,466.32707559685724,0.139866655,True
stage2,high_imbalance_seed4201,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,55,55,3,52,3,24,0,28,23,52,52,52,1,1,3,52,494.35348511421506,35.87866973952537,458.4748153746897,0.178864357,True
stage2,high_imbalance_seed4201,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,555.2913136208884,0,0,0.114684648,True
stage2,high_imbalance_seed5202,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,29,29,1,28,1,25,0,26,24,29,29,29,1,1,0,0,487.1208486912197,19.025516678098825,468.09533201312087,0.167772078,True
stage2,high_imbalance_seed5202,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,35,35,1,34,1,15,0,19,15,34,34,34,1,1,1,34,541.4834396357446,22.187398526675064,519.2960411090695,0.170385813,True
stage2,high_imbalance_seed5202,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,576.699485018724,0,0,0.133578898,True
stage2,high_imbalance_seed5203,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,69,69,16,53,16,37,0,38,23,69,69,69,1,1,0,0,504.97567807100245,35.16226213161695,469.81341593938544,0.135982689,True
stage2,high_imbalance_seed5203,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,76,76,18,58,18,26,1,30,11,58,58,58,1,1,18,58,523.9960091948528,36.837792889505174,487.1582163053476,0.164779709,True
stage2,high_imbalance_seed5203,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,548.970833295025,0,0,0.113807781,True
stage2,high_imbalance_seed6202,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,21,21,1,20,1,18,0,19,18,21,21,21,1,1,0,0,563.737306575684,187.75964378175433,375.9776627939297,0.566828755,True
stage2,high_imbalance_seed6202,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,9,9,1,8,1,1,1,5,3,8,8,8,1,1,1,8,680.5161591664166,77.4795896159443,603.0365695504723,0.932857915,True
stage2,high_imbalance_seed6202,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,664.4493084178796,0,0,0.329304581,True
stage2,moderate_seed3302,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,562.2299081484264,0,0,0.081947459,True
stage2,moderate_seed4302,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,231,231,74,157,74,83,0,84,11,231,231,231,1,1,0,0,466.0332217547025,46.117923450885364,419.9152983038171,0.08173329,True
stage2,moderate_seed4302,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,8,8,2,6,2,0,2,4,3,6,6,6,1,1,2,6,538.1551558519147,1.758843538743812,536.3963123131709,0.152741515,True
stage2,moderate_seed4302,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,524.2764918361275,0,0,0.118501305,True
stage2,moderate_seed5301,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,409,409,131,278,131,146,0,147,16,409,409,409,1,1,0,0,508.8362915790514,227.25908554680476,281.5772060322467,0.071021517,True
stage2,moderate_seed5301,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,449,449,143,306,143,152,0,156,13,306,306,306,1,1,143,306,560.8545353311797,245.37407021202517,315.4804651191545,0.119057054,True
stage2,moderate_seed5301,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,587.0827364463518,0,0,0.078142046,True
stage2,moderate_seed5302,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,49,49,6,43,6,37,0,38,33,49,49,49,1,1,0,0,493.68177483502564,33.32485783821831,460.3569169968073,0.131553567,True
stage2,moderate_seed5302,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,59,59,8,51,8,25,0,29,22,51,51,51,1,1,8,51,568.8248190029466,40.041865048137474,528.7829539548092,0.167963589,True
stage2,moderate_seed5302,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,541.7948207117682,0,0,0.132268732,True
stage2,moderate_seed6301,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,726.0400915967944,0,0,0.463384791,True
stage2,tight_T_seed3101,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,547.285127548938,0,0,0.128933672,True
stage2,tight_T_seed4101,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,293,293,91,202,91,107,0,108,14,293,293,293,1,1,0,0,458.67356457542843,119.46088381872134,339.212680756707,0.075756787,True
stage2,tight_T_seed4101,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,7,7,1,6,1,1,1,5,4,6,6,6,1,1,1,6,595.2855170813194,3.142773730896485,592.142743350423,0.139946695,True
stage2,tight_T_seed4101,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,551.277160418904,0,0,0.116019207,True
stage2,tight_T_seed5102,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,368,368,116,252,116,133,0,134,15,368,368,368,1,1,0,0,456.5329447705385,164.87597633734111,291.65696843319745,0.081274573,True
stage2,tight_T_seed5102,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,8,8,1,7,1,1,1,5,4,7,7,7,1,1,1,7,480.79181677686046,4.337921362102464,476.453895414758,0.153987336,True
stage2,tight_T_seed5102,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,552.4863466229355,0,0,0.126437144,True
stage2,tight_T_seed5103,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,395,395,128,267,128,136,0,137,7,395,395,395,1,1,0,0,465.2563300766907,186.70619590790426,278.5501341687871,0.061197347,True
stage2,tight_T_seed5103,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,10,10,1,9,1,2,1,6,4,9,9,9,1,1,1,9,488.538578275642,6.246581536798235,482.29199673884375,0.171221685,True
stage2,tight_T_seed5103,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,550.1494084358711,0,0,0.121431957,True
stage2,tight_T_seed6102,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,21,21,1,20,1,17,0,18,16,21,21,21,1,1,0,0,272.10045453594495,232.99414016106275,39.106314374882196,0.503973241,True
stage2,tight_T_seed6102,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,27,27,3,24,3,10,0,14,8,24,24,24,1,1,3,24,515.6427255979577,285.57420031076435,230.06852528719332,0.642988792,True
