run_id,stage,instance,leaf_id,depth,status,inherited_lower_bound,complete_lp_bound,lp_bound_gain_over_inherited,lp_materially_improves_inherited,lp_infeasible,structural_split,both_children_lp_evaluated,post_split_child_lower_bound,post_split_gain_over_parent_lp,low_value_structural_split,terminal_mip,terminal_mip_global_lb_gain,terminal_mip_improved_incumbent
stage0_exactness__toy__c3_replica__30s,stage0_exactness,toy,R,0,open,0.0,,,False,False,False,False,,,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R,0,replaced,0.0,0.003016444645532515,0.003016444645532515,True,False,True,True,0.0031315790686458653,0.00011513442311335016,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0,1,replaced,0.003016444645532515,0.0031315790686458653,0.00011513442311335016,True,False,True,True,0.003209400142503194,7.782107385732873e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.1,1,replaced,0.003016444645532515,0.010910493313564135,0.00789404866803162,True,False,True,False,,,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0,2,replaced,0.0031315790686458653,0.003209400142503194,7.782107385732873e-05,True,False,True,True,0.003263655906130154,5.425576362695986e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.1,2,replaced,0.0031315790686458653,0.006612366616426456,0.0034807875477805904,True,False,True,False,,,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.1.0,2,open,0.010910493313564135,,,False,False,False,False,,,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.1.1,2,open,0.010910493313564135,,,False,False,False,False,,,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0,3,replaced,0.003209400142503194,0.003263655906130154,5.425576362695986e-05,True,False,True,True,0.0034723458032201015,0.00020868989708994765,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.1,3,replaced,0.003209400142503194,0.004889331245015507,0.0016799311025123133,True,False,True,True,0.004903918000967776,1.4586755952269125e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.1.0,3,open,0.006612366616426456,,,False,False,False,False,,,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.1.1,3,open,0.006612366616426456,,,False,False,False,False,,,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0,4,replaced,0.003263655906130154,0.0034723458032201015,0.00020868989708994765,True,False,True,True,0.0037861525570175537,0.0003138067537974522,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.1,4,replaced,0.003263655906130154,0.004068530635383866,0.0008048747292537122,True,False,True,True,0.004075918814430351,7.388179046484769e-06,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.1.0,4,replaced,0.004889331245015507,0.004903918000967776,1.4586755952269125e-05,True,False,True,True,0.004911297762154045,7.379761186268596e-06,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.1.1,4,replaced,0.004889331245015507,0.005748870785376171,0.0008595395403606636,True,False,True,True,0.005755387957967227,6.517172591056185e-06,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.0,5,empty,0.0034723458032201015,0.0,,False,True,False,False,,,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1,5,replaced,0.0034723458032201015,0.0037861525570175537,0.0003138067537974522,True,False,True,True,0.0039020331063731937,0.00011588054935564003,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.1.0,5,replaced,0.004068530635383866,0.004075918814430351,7.388179046484769e-06,True,False,True,True,0.0040796336096574235,3.7147952270727078e-06,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.1.1,5,replaced,0.004068530635383866,0.004493740612011434,0.00042520997662756806,True,False,True,True,0.004497362853839349,3.6222418279144644e-06,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1.0,6,replaced,0.0037861525570175537,0.0039020331063731937,0.00011588054935564003,True,False,True,True,0.00396061204721882,5.85789408456259e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1.1,6,replaced,0.0037861525570175537,0.003944040454757683,0.00015788789774012942,True,False,True,True,0.004002312699557587,5.8272244799904144e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1.1.0,7,replaced,0.003944040454757683,0.004002312699557587,5.8272244799904144e-05,True,False,True,True,0.004031739783282502,2.9427083724914427e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1.1.1,7,replaced,0.003944040454757683,0.004022891004686825,7.885054992914226e-05,True,False,True,True,0.004052674571489035,2.9783566802209574e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1.0.0,7,replaced,0.0039020331063731937,0.00396061204721882,5.85789408456259e-05,True,False,True,True,0.003989617828640655,2.9005781421835575e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1.0.1,7,replaced,0.0039020331063731937,0.0039810229155280135,7.898980915481977e-05,True,False,True,True,0.004010145182010717,2.912226648270344e-05,False,False,,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1.0.0.0,8,empty,0.00396061204721882,0.003989617828640655,2.9005781421835575e-05,True,False,False,False,,,False,True,0.0,False
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,R.0.0.0.0.1.0.0.1,8,empty,0.00396061204721882,0.004000126489476163,3.9514442257343636e-05,True,False,False,False,,,False,True,0.0,False
