family,V,instances,c4_wins,p_grb_wins,ties,c4_family_majority,median_c4_minus_p_lb,mean_c4_minus_p_auc
high_imbalance,20,4,4,0,0,True,0.31315088224937804,-0.7215031448939022
high_imbalance,50,1,0,1,0,False,-0.39586773784342366,-0.7916077100767901
moderate,20,4,3,1,0,True,0.010676562076120992,-0.3202020670665007
moderate,50,1,1,0,0,True,0.04857621285307079,-0.6827649571763265
tight_T,20,4,1,3,0,False,-0.011943687074180087,-0.4721623417747708
tight_T,50,1,1,0,0,True,0.042248611000753056,-0.7162286275681377
v12,12,2,0,1,1,False,-0.03137194348352115,-0.7005773648537459
