stage,instance,arm,threshold,time_to_threshold_seconds,reached,final_common_ub_gap
stage1,high_imbalance_seed3202,C3-REPLICA,0.25,34.3297801,True,0.07965753713773269
stage1,high_imbalance_seed3202,C3-REPLICA,0.1,34.9628201,True,0.07965753713773269
stage1,high_imbalance_seed3202,C3-REPLICA,0.05,,False,0.07965753713773269
stage1,high_imbalance_seed3202,C3-REPLICA,0.01,,False,0.07965753713773269
stage1,high_imbalance_seed3202,C3-REPLICA,0.001,,False,0.07965753713773269
stage1,high_imbalance_seed3202,C3-REPLICA,0.0001,,False,0.07965753713773269
stage1,high_imbalance_seed3202,C4-CANDIDATE,0.25,,False,0.07915668237213079
stage1,high_imbalance_seed3202,C4-CANDIDATE,0.1,,False,0.07915668237213079
stage1,high_imbalance_seed3202,C4-CANDIDATE,0.05,,False,0.07915668237213079
stage1,high_imbalance_seed3202,C4-CANDIDATE,0.01,,False,0.07915668237213079
stage1,high_imbalance_seed3202,C4-CANDIDATE,0.001,,False,0.07915668237213079
stage1,high_imbalance_seed3202,C4-CANDIDATE,0.0001,,False,0.07915668237213079
stage1,moderate_seed3302,C3-REPLICA,0.25,,False,0.2873664820996811
stage1,moderate_seed3302,C3-REPLICA,0.1,,False,0.2873664820996811
stage1,moderate_seed3302,C3-REPLICA,0.05,,False,0.2873664820996811
stage1,moderate_seed3302,C3-REPLICA,0.01,,False,0.2873664820996811
stage1,moderate_seed3302,C3-REPLICA,0.001,,False,0.2873664820996811
stage1,moderate_seed3302,C3-REPLICA,0.0001,,False,0.2873664820996811
stage1,moderate_seed3302,C4-CANDIDATE,0.25,,False,0.28677405845490433
stage1,moderate_seed3302,C4-CANDIDATE,0.1,,False,0.28677405845490433
stage1,moderate_seed3302,C4-CANDIDATE,0.05,,False,0.28677405845490433
stage1,moderate_seed3302,C4-CANDIDATE,0.01,,False,0.28677405845490433
stage1,moderate_seed3302,C4-CANDIDATE,0.001,,False,0.28677405845490433
stage1,moderate_seed3302,C4-CANDIDATE,0.0001,,False,0.28677405845490433
stage1,moderate_seed6301,C3-REPLICA,0.25,,False,1.0
stage1,moderate_seed6301,C3-REPLICA,0.1,,False,1.0
stage1,moderate_seed6301,C3-REPLICA,0.05,,False,1.0
stage1,moderate_seed6301,C3-REPLICA,0.01,,False,1.0
stage1,moderate_seed6301,C3-REPLICA,0.001,,False,1.0
stage1,moderate_seed6301,C3-REPLICA,0.0001,,False,1.0
stage1,moderate_seed6301,C4-CANDIDATE,0.25,,False,0.20656224766548742
stage1,moderate_seed6301,C4-CANDIDATE,0.1,,False,0.20656224766548742
stage1,moderate_seed6301,C4-CANDIDATE,0.05,,False,0.20656224766548742
stage1,moderate_seed6301,C4-CANDIDATE,0.01,,False,0.20656224766548742
stage1,moderate_seed6301,C4-CANDIDATE,0.001,,False,0.20656224766548742
stage1,moderate_seed6301,C4-CANDIDATE,0.0001,,False,0.20656224766548742
stage1,tight_T_seed3101,C3-REPLICA,0.25,,False,0.7786013423113911
stage1,tight_T_seed3101,C3-REPLICA,0.1,,False,0.7786013423113911
stage1,tight_T_seed3101,C3-REPLICA,0.05,,False,0.7786013423113911
stage1,tight_T_seed3101,C3-REPLICA,0.01,,False,0.7786013423113911
stage1,tight_T_seed3101,C3-REPLICA,0.001,,False,0.7786013423113911
stage1,tight_T_seed3101,C3-REPLICA,0.0001,,False,0.7786013423113911
stage1,tight_T_seed3101,C4-CANDIDATE,0.25,,False,0.5
stage1,tight_T_seed3101,C4-CANDIDATE,0.1,,False,0.5
stage1,tight_T_seed3101,C4-CANDIDATE,0.05,,False,0.5
stage1,tight_T_seed3101,C4-CANDIDATE,0.01,,False,0.5
stage1,tight_T_seed3101,C4-CANDIDATE,0.001,,False,0.5
stage1,tight_T_seed3101,C4-CANDIDATE,0.0001,,False,0.5
stage1,V12_M1,C3-REPLICA,0.25,14.4223107,True,0.11357266630098123
stage1,V12_M1,C3-REPLICA,0.1,,False,0.11357266630098123
stage1,V12_M1,C3-REPLICA,0.05,,False,0.11357266630098123
stage1,V12_M1,C3-REPLICA,0.01,,False,0.11357266630098123
stage1,V12_M1,C3-REPLICA,0.001,,False,0.11357266630098123
stage1,V12_M1,C3-REPLICA,0.0001,,False,0.11357266630098123
stage1,V12_M1,C4-CANDIDATE,0.25,,False,2.641903779817653e-15
stage1,V12_M1,C4-CANDIDATE,0.1,,False,2.641903779817653e-15
stage1,V12_M1,C4-CANDIDATE,0.05,,False,2.641903779817653e-15
stage1,V12_M1,C4-CANDIDATE,0.01,,False,2.641903779817653e-15
stage1,V12_M1,C4-CANDIDATE,0.001,,False,2.641903779817653e-15
stage1,V12_M1,C4-CANDIDATE,0.0001,,False,2.641903779817653e-15
stage1,V12_M2,C3-REPLICA,0.25,14.0933831,True,0.088036217195554
stage1,V12_M2,C3-REPLICA,0.1,24.2725501,True,0.088036217195554
stage1,V12_M2,C3-REPLICA,0.05,,False,0.088036217195554
stage1,V12_M2,C3-REPLICA,0.01,,False,0.088036217195554
stage1,V12_M2,C3-REPLICA,0.001,,False,0.088036217195554
stage1,V12_M2,C3-REPLICA,0.0001,,False,0.088036217195554
stage1,V12_M2,C4-CANDIDATE,0.25,,False,0.08732572231791685
stage1,V12_M2,C4-CANDIDATE,0.1,,False,0.08732572231791685
stage1,V12_M2,C4-CANDIDATE,0.05,,False,0.08732572231791685
stage1,V12_M2,C4-CANDIDATE,0.01,,False,0.08732572231791685
stage1,V12_M2,C4-CANDIDATE,0.001,,False,0.08732572231791685
stage1,V12_M2,C4-CANDIDATE,0.0001,,False,0.08732572231791685
stage2,high_imbalance_seed3202,P-GRB,0.25,,False,0.38554827886589416
stage2,high_imbalance_seed3202,P-GRB,0.1,,False,0.38554827886589416
stage2,high_imbalance_seed3202,P-GRB,0.05,,False,0.38554827886589416
stage2,high_imbalance_seed3202,P-GRB,0.01,,False,0.38554827886589416
stage2,high_imbalance_seed3202,P-GRB,0.001,,False,0.38554827886589416
