stage,instance,arm,repetition,status,strict_certificate,certificate_class,rejection_reason,valid_lb,verified_ub,exact_phase_started,graceful_deadline_finalization,conservative_lower_bound_source,no_false_certificate
stage1,high_imbalance_seed3202,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,1.609967450778375,1.7493134520506337,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,1.610843602757366,1.7493134520506337,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,moderate_seed3302,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.1394169181016961,0.19563620654901237,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,moderate_seed3302,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.13953281761623015,0.19563620654901237,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,moderate_seed6301,C3-REPLICA,0,paper_hga_global_deadline,False,certificate_rejected,exact_phase_not_started_after_global_deadline,0.0,0.6075292832179728,False,True,objective_nonnegative_G_plus_lambda_P,True
stage1,moderate_seed6301,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.4820366689538659,0.6075292832179728,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,tight_T_seed3101,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.023745611370687886,0.10725273413394144,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,tight_T_seed3101,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.05362636706697072,0.10725273413394144,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,V12_M1,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.31663236056917027,0.3572005832084155,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,V12_M1,C4-CANDIDATE,0,optimal,True,engineering_exact_original_problem_optimal,none,0.3572005832084146,0.3572005832084155,True,False,objective_nonnegative_G_plus_lambda_P,True
stage1,V12_M2,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.6552496903260966,0.7185040707549709,True,True,objective_nonnegative_G_plus_lambda_P,True
stage1,V12_M2,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.6557601837879294,0.7185040707549709,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed3202,P-GRB,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,1.074868661415556,1.7630423841732887,True,False,,True
stage2,high_imbalance_seed4201,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,2.6892378230914074,2.784107571242904,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed4201,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,2.6896611173437055,2.784107571242904,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed4201,P-GRB,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,2.0042580270669403,2.784107571242904,True,False,,True
stage2,high_imbalance_seed5202,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,1.0151175975564048,1.1542456900998876,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed5202,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,1.0155419140820865,1.1543377051882164,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed5202,P-GRB,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,0.9252150909251404,1.186503077343321,True,False,,True
stage2,high_imbalance_seed5203,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,2.0254288773385505,2.3524097575828193,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed5203,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,2.0264485645829993,2.3524097575828193,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed5203,P-GRB,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,1.9903564132248892,2.355629122487788,True,False,,True
stage2,high_imbalance_seed6202,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,7.487138546071088,9.820664665302525,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed6202,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,7.461555638889693,9.736060015392617,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,high_imbalance_seed6202,P-GRB,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,7.8574233767331165,10.051557504392527,True,False,,True
stage2,moderate_seed3302,P-GRB,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,0.12931018892684115,0.219953022089018,True,False,,True
stage2,moderate_seed4302,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.006826339528771914,0.04854285887126694,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,moderate_seed4302,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.016240295448157305,0.04854285887126694,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,moderate_seed4302,P-GRB,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,8.816848156789071e-08,0.05457724328859062,True,False,,True
stage2,moderate_seed5301,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.08263319999845456,0.16885733659692667,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,moderate_seed5301,C4-CANDIDATE,0,round29_c4_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.08358982994364039,0.16885733659692667,True,True,objective_nonnegative_G_plus_lambda_P,True
stage2,moderate_seed5301,P-GRB,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,0.07245933448078741,0.18314472499185203,True,False,,True
stage2,moderate_seed5302,C3-REPLICA,0,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,0.01610829051859732,0.10573533268303861,True,True,objective_nonnegative_G_plus_lambda_P,True
