stage,instance,repetition,parent_id,parent_lp_bound,left_lp_bound,left_infeasible,right_lp_bound,right_infeasible,post_split_bound,one_level_bound_gain,decision_valid,split,decision_reason,low_value_split
stage1,high_imbalance_seed3202,0,L1,1.63629,0,True,1.66262,False,1.66262,0.026329999999999965,1,1,child_lp_infeasible,False
stage1,high_imbalance_seed3202,0,L2,1.58233,1.58278,False,1.68721,False,1.58278,0.00045000000000006146,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0,1.58278,1.58838,False,1.62783,False,1.58838,0.005599999999999827,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0,1.58838,1.59551,False,1.60343,False,1.59551,0.007130000000000081,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.0,1.59551,1.61997,False,1.60156,False,1.60156,0.006050000000000111,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.0.1,1.60156,1.60526,False,1.60464,False,1.60464,0.0030799999999999716,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.1,1.60343,1.60477,False,1.6133,False,1.60477,0.0013400000000001189,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.0.1.1,1.60464,1.60609,False,1.60623,False,1.60609,0.0014499999999999513,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.1.0,1.60477,1.60602,False,1.60866,False,1.60602,0.0012499999999999734,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.0.1.0,1.60526,1.60957,False,1.60668,False,1.60668,0.0014200000000001989,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.1.0.0,1.60602,1.60684,False,1.60766,False,1.60684,0.0008200000000000429,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.0.1.1.0,1.60609,1.60704,False,1.60684,False,1.60684,0.0007500000000000284,1,1,strict_child_lp_bound_improvement,False
stage1,high_imbalance_seed3202,0,L2.0.0.0.1.1.1,1.60623,1.6068,False,1.60702,False,1.6068,0.0005699999999999594,1,1,strict_child_lp_bound_improvement,False
