stage,instance,arm,repetition,instance_parsing_complete_seconds,preprocessing_complete_seconds,hga_start_seconds,hga_generation_complete_seconds,hga_extraction_complete_seconds,hga_decode_complete_seconds,verification_complete_seconds,pre_exact_elapsed_seconds,exact_phase_start_seconds,first_external_event_seconds,first_model_build_seconds,first_lp_launch_seconds,external_phase_seconds,serialization_seconds,process_exit_seconds,phase_event_count
stage1,high_imbalance_seed3202,C3-REPLICA,0,0.0019374,0.0022081,0.0026147,15.8963274,15.8982381,15.8986966,15.898858,33.1135456,33.1135456,33.13218,33.1424497,33.2432877,261.92751549999997,0.0009514000000194756,295.0422645,37
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,0.0018318,0.00207,0.002472,15.8419235,15.8440444,15.8447639,15.8449418,15.8500207,15.8500207,15.8602055,15.8604698,15.9671568,279.17506929999996,0.001104600000019218,295.0262867,29
stage1,moderate_seed3302,C3-REPLICA,0,0.0018328,0.0020559,0.0024346,20.0838915,20.0861457,20.0885536,20.089394,42.7008393,42.7008393,42.7235507,42.7380319,42.8513852,252.341787,0.000969900000029611,295.0436733,37
stage1,moderate_seed3302,C4-CANDIDATE,0,0.0020396,0.0022621,0.0026589,20.1745129,20.1765847,20.1779753,20.1782574,20.1821383,20.1821383,20.191429,20.1918786,20.3049034,274.85209749999996,0.0009477000000401858,295.0353253,29
stage1,moderate_seed6301,C3-REPLICA,0,0.0026604,0.0030502,0.0034303,51.3358253,51.3386037,51.3395864,51.340031,295.1779197,,,,,0.0,0.0008366999999793734,295.1788368,22
stage1,moderate_seed6301,C4-CANDIDATE,0,0.0025528,0.0028737,0.0032975,51.6840367,51.6870622,51.6888926,51.6894278,51.7016317,51.7016317,51.7565671,51.7567721,52.9397979,243.38589259999998,0.0016721000000075037,295.0892794,29
stage1,tight_T_seed3101,C3-REPLICA,0,0.0019771,0.0022517,0.0026135,14.9836664,14.9867091,14.9876957,14.9881599,29.2869754,29.2869754,29.3093542,29.3242977,29.4366774,265.7414708,0.0009158999999954176,295.02944,37
stage1,tight_T_seed3101,C4-CANDIDATE,0,0.0018154,0.0020399,0.0023905,14.9508722,14.9543161,14.9551171,14.955418,14.9620214,14.9620214,14.9708495,14.9710117,15.0840596,280.0799396,0.001476599999989503,295.0435301,29
stage1,V12_M1,C3-REPLICA,0,0.0018214,0.0020529,0.002564,6.2920508,6.2954597,6.2960436,6.296388,13.5579589,13.5579589,13.5719531,13.5763236,13.6549948,281.4750921,0.0011648000000263892,295.0343036,37
stage1,V12_M1,C4-CANDIDATE,0,0.0018664,0.002093,0.0025068,6.2173987,6.2194879,6.2198758,6.2200527,6.2234388,6.2234388,6.2324008,6.232557,6.3133451,128.9164805,0.0017434000000093874,135.1417452,29
stage1,V12_M2,C3-REPLICA,0,0.0019436,0.0021659,0.0025609,6.7997538,6.8016873,6.8021255,6.8026971,13.2383365,13.2383365,13.2529581,13.257223,13.4013129,281.8132867,0.002032400000018697,295.0539178,37
stage1,V12_M2,C4-CANDIDATE,0,0.0017771,0.0019939,0.0023871,7.2862076,7.2884228,7.289137,7.2894317,7.2927392,7.2927392,7.301476,7.3017186,7.4469035,287.7334638,0.0011460000000056425,295.0276938,29
stage2,high_imbalance_seed3202,P-GRB,0,0.0018751,,,,,,,295.0239553,,,,,0.0,0.0008447000000160187,295.0248824,7
stage2,high_imbalance_seed4201,C3-REPLICA,0,0.002074,0.0023056,0.0027476,16.7817665,16.7839718,16.784549,16.7847212,33.456402,33.456402,33.4761369,33.4868881,33.5903092,261.59099330000004,0.001680299999975432,295.0495602,37
stage2,high_imbalance_seed4201,C4-CANDIDATE,0,0.002003,0.002232,0.002645,16.5468293,16.5491588,16.5503881,16.5508459,16.5576252,16.5576252,16.5672047,16.5673564,16.674532,278.463891,0.00113010000001168,295.0227235,29
