instance,family,V,left_arm,right_arm,common_ub,left_status,right_status,left_strict,right_strict,left_final_lb,right_final_lb,right_minus_left_lb,left_common_gap,right_common_gap,right_minus_left_gap,left_bound_auc,right_bound_auc,right_minus_left_auc,left_work,right_work,left_optimize_count,right_optimize_count,left_model_reads,right_model_reads,left_splits,right_splits,left_terminal_mips,right_terminal_mips,winner_by_final_lb
V12_M1,v12,12,P-GRB,C4-CANDIDATE,0.3572005832084155,optimal,optimal,True,True,0.3572005832084151,0.3572005832084146,-4.996003610813204e-16,1.2432488375612486e-15,2.641903779817653e-15,1.3986549422564045e-15,0.9912913126675427,0.5495339116666653,-0.44175740100087735,53.573278258640755,172.85109000753008,1,233,1,164,0,77,0,69,tie
V12_M2,v12,12,P-GRB,C4-CANDIDATE,0.7185040707549709,optimal,round29_c4_external_gini_tree_time_limit,True,False,0.7185040707549712,0.6557601837879294,-0.0627438869670418,0.0,0.08732572231791685,0.08732572231791685,0.9745292129860104,0.015131884279395935,-0.9593973287066144,282.0967431295214,484.165219455399,1,160,1,112,0,54,0,48,P-GRB
high_imbalance_seed3202,high_imbalance,20,P-GRB,C4-CANDIDATE,1.7493134520506337,time_limit,round29_c4_external_gini_tree_time_limit,False,False,1.074868661415556,1.610843602757366,0.53597494134181,0.38554827886589416,0.07915668237213079,-0.30639159649376335,0.6049675218695911,0.015270752362864792,-0.5896967695067263,586.602245169789,577.0638739734727,1,93,1,68,0,32,0,25,C4-CANDIDATE
moderate_seed3302,moderate,20,P-GRB,C4-CANDIDATE,0.19563620654901237,time_limit,round29_c4_external_gini_tree_time_limit,False,False,0.12931018892684115,0.13953281761623015,0.010222628689389002,0.33902731397296176,0.28677405845490433,-0.05225325551805743,0.6541766990922144,0.011805929634248091,-0.6423707694579663,562.2299081484264,514.7351730809264,1,163,1,143,0,70,0,20,C4-CANDIDATE
tight_T_seed3101,tight_T,20,P-GRB,C4-CANDIDATE,0.10725273413394144,time_limit,round29_c4_external_gini_tree_time_limit,False,False,0.01937849707503963,0.05362636706697072,0.03424786999193109,0.8193193186959785,0.5,-0.3193193186959785,0.1658197168812766,0.008263589000000016,-0.1575561278812766,547.285127548938,543.6235730705707,1,39,1,30,0,9,0,9,C4-CANDIDATE
high_imbalance_seed4201,high_imbalance,20,P-GRB,C4-CANDIDATE,2.784107571242904,time_limit,round29_c4_external_gini_tree_time_limit,False,False,2.0042580270669403,2.6896611173437055,0.6854030902767652,0.2801075476504728,0.03392342123369721,-0.2461841264167756,0.7084884933557741,0.01603231519037518,-0.692456178165399,555.2913136208884,494.35348511421506,1,55,1,52,0,24,0,3,C4-CANDIDATE
moderate_seed4302,moderate,20,P-GRB,C4-CANDIDATE,0.04854285887126694,time_limit,round29_c4_external_gini_tree_time_limit,False,False,8.816848156789071e-08,0.016240295448157305,0.016240207279675737,0.9999981836982077,0.6654441904374504,-0.3345539932607573,1.7316802918276863e-06,0.005547706808243902,0.005545975127952074,524.2764918361275,538.1551558519147,1,8,1,6,0,0,0,2,C4-CANDIDATE
tight_T_seed4101,tight_T,20,P-GRB,C4-CANDIDATE,0.562981400559009,time_limit,round29_c4_external_gini_tree_time_limit,False,False,0.36326075806486424,0.3022442685314236,-0.06101648953344063,0.3547553121574414,0.4631363163484407,0.10838100419099933,0.627850243433635,0.008902410323595067,-0.61894783311004,551.277160418904,595.2855170813194,1,7,1,6,0,1,0,1,P-GRB
high_imbalance_seed5202,high_imbalance,20,P-GRB,C4-CANDIDATE,1.1542456900998876,time_limit,round29_c4_external_gini_tree_time_limit,False,False,0.9252150909251404,1.0155419140820865,0.09032682315694607,0.19842447854834708,0.12016832915858479,-0.07825614938976229,0.7964451751478608,0.01457486180802614,-0.7818703133398347,576.699485018724,541.4834396357446,1,35,1,34,0,15,0,1,C4-CANDIDATE
high_imbalance_seed5203,high_imbalance,20,P-GRB,C4-CANDIDATE,2.3524097575828193,time_limit,round29_c4_external_gini_tree_time_limit,False,False,1.9903564132248892,2.0264485645829993,0.03609215135811006,0.15390743181151917,0.1385648023050016,-0.015342629506517574,0.836264372276276,0.014275053712627273,-0.8219893185636488,548.970833295025,523.9960091948528,1,76,1,58,0,26,0,18,C4-CANDIDATE
moderate_seed5301,moderate,20,P-GRB,C4-CANDIDATE,0.16885733659692667,time_limit,round29_c4_external_gini_tree_time_limit,False,False,0.07245933448078741,0.08358982994364039,0.011130495462852982,0.5708842983011599,0.5049677341342017,-0.06591656416695824,0.42352399793524,0.008215574295534767,-0.4153084236397052,587.0827364463518,560.8545353311797,1,449,1,306,0,152,0,143,C4-CANDIDATE
