stage,instance,family,V,M,arm,repetition,horizon_seconds,return_code,runner_wall_seconds,emergency_timeout,result_exists,status,completed_process,authoritative,verified_witness,correctness_gates,strict_certificate,certificate_class,certificate_rejection_reason,exact_phase_started,graceful_deadline_finalization,verified_ub,valid_final_lb,common_ub,common_ub_gap,bound_progress_auc,normalized_gap_auc,bound_observations,process_wall_seconds,process_elapsed_at_exact_start_seconds,hga_wall_time_seconds,exact_phase_seconds,work,lp_work,terminal_mip_work,lp_optimize_count,terminal_mip_leaf_count,terminal_mip_optimize_count,split_count,declined_split_count,unconditional_split_count,lp_pruned_leaf_count,lp_infeasible_leaf_count,initial_leaf_count,final_leaf_count,open_leaf_count,closed_leaf_count,max_depth,optimize_count,model_count,model_read_count,model_free_count,environment_count,environment_free_count,presolve_count,root_relaxation_count,simplex_iterations,barrier_iterations,native_nodes,peak_memory_gb,model_build_seconds,model_read_seconds,solver_seconds,final_stagnation_seconds,same_leaf_model_reuse_count,explicit_leaf_model_discard_count,integer_domain_restore_count,basis_available_count,basis_mapped_count,basis_submitted_count,basis_accepted_count,basis_rejected_count,mip_start_submitted_count,mip_start_accepted_count,mip_start_rejected_count,selector_variable_count,global_row_family_count,interval_row_family_count,lifecycle_complete,conservative_lower_bound_source,result_path,run_path
stage3,V12_M1,v12,12,1,C2-PAPER,0,300,0,143.07799999974668,False,True,optimal,True,True,True,True,True,engineering_exact_original_problem_optimal,none,,,0.3572005832084155,0.3572005832084146,0.3572005832084155,2.641903779817653e-15,0.9188039660484268,0.08119603395157314,150,143.0560062,,6.2267847,136.82922150000002,172.85109000753008,30.732874329038196,142.1182156784919,164,69,69,77,0,0,0,0,4,81,0,81,0,233,233,233,233,1,1,233,69,282398,0,2326,0.066071979,13.2351062,3.583704,111.2749993801117,0.0024862999999868407,0,,0,0,0,0,0,0,,,,0,0,0,True,,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M1__c2_paper__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M1__c2_paper__300s
stage3,V12_M1,v12,12,1,C3-REPLICA,0,300,0,295.06199999991804,False,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.3572005832084155,0.31663236056917027,0.3572005832084155,0.11357266630098123,0.8285881404060051,0.17141185959399483,454,295.0329673,13.5578267,6.2941411,281.4751406,375.83611723843,43.451742406736905,332.384374831693,231,103,103,120,0,120,0,8,4,121,11,110,0,334,334,334,334,1,1,334,103,645374.0,0.0,7965.0,0.043116898,18.394105600000007,5.086472700000006,253.27500104904175,9.25697869999999,0,0,0,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M1__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M1__c3_replica__300s
stage3,V12_M1,v12,12,1,C4-CANDIDATE,0,300,0,135.17200000025332,False,True,optimal,True,True,True,True,True,engineering_exact_original_problem_optimal,none,True,False,0.3572005832084155,0.3572005832084146,0.3572005832084155,2.641903779817653e-15,0.5495339116666653,0.45046608833333474,0,135.1398265,6.2233875,6.2176687,128.916439,172.85109000753008,30.732874329038196,142.1182156784919,164,69,69,77,3,0,0,0,4,81,0,81,0,233,164,164,164,1,1,233,69,282398.0,0.0,2326.0,0.067132739,13.140083700000002,2.500962099999999,110.6890001296997,0.0023893000000043685,69,95,164,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M1__c4_candidate__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M1__c4_candidate__300s
stage3,V12_M1,v12,12,1,S0-CPLEX,0,300,0,294.280999999959,False,True,global_gini_tree_time_limit,True,True,True,True,False,time_limit_valid_bound,none,,,0.3572005832084155,0.3564504596888608,0.3572005832084155,0.002100006424449341,0.9528590461252225,0.047140953874777465,10879,294.2408165,,6.1204223,288.1203942,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,True,,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M1__s0_cplex__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M1__s0_cplex__300s
stage3,V12_M2,v12,12,2,C2-PAPER,0,300,0,294.07800000021234,False,True,paper_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,,,0.7185040707549709,0.6552496903260966,0.7185040707549709,0.088036217195554,0.8805455269267408,0.11945447307325918,103,294.0501045,,7.1906629,286.85944159999997,463.02429001084323,30.34670692777793,432.6775830830653,110,47,47,53,0,0,0,0,4,57,4,53,0,157,157,157,157,1,1,157,47,527697,0,1126,0.090709891,15.752219699999994,4.545195499999999,257.51199984550476,8.572122000000036,0,,0,0,0,0,0,0,,,,0,0,0,True,,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M2__c2_paper__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M2__c2_paper__300s
stage3,V12_M2,v12,12,2,C3-REPLICA,0,300,0,295.094000000041,False,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.7185040707549709,0.6552496903260966,0.7185040707549709,0.088036217195554,0.8628888857956541,0.13711111420434588,218,295.051419,13.2381501,6.800334,281.8132689,471.2460872190688,30.755674756898127,440.4904124621707,112,48,48,58,0,58,0,6,4,59,6,53,0,160,160,160,160,1,1,160,48,538681.0,0.0,1160.0,0.09070989,16.009346700000002,4.606902600000001,258.2770006656647,4.195985500000006,0,0,0,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M2__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M2__c3_replica__300s
stage3,V12_M2,v12,12,2,C4-CANDIDATE,0,300,0,295.0470000002533,False,True,round29_c4_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,0.7185040707549709,0.6557601837879294,0.7185040707549709,0.08732572231791685,0.015131884279395935,0.9848681157206041,0,295.0260839,7.2926927,7.2871717,287.7333912,484.165219455399,30.873837965497756,453.29138148990126,112,48,48,54,0,0,0,0,4,58,4,54,0,160,112,112,112,1,1,160,48,547540.0,0.0,1185.0,0.115857951,16.094709200000004,3.233223,266.0000002384186,11.591534799999977,48,61,112,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M2__c4_candidate__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__V12_M2__c4_candidate__300s
stage3,V12_M2,v12,12,2,S0-CPLEX,0,300,0,294.344000000041,False,True,global_gini_tree_time_limit,True,True,True,True,False,time_limit_valid_bound,none,,,0.7185040707549709,0.7071386322459102,0.7185040707549709,0.015818196405092612,0.9358789922900101,0.06412100770998987,9783,294.3278234,,7.1586842,287.1691392,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,True,,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M2__s0_cplex__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M2__s0_cplex__300s
stage3,high_imbalance_seed3202,high_imbalance,20,3,C2-PAPER,0,300,0,294.0779999997467,False,True,paper_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,,,1.7493134520506337,1.6100919655396664,1.7493134520506337,0.07958635792102603,0.8627550581069398,0.13724494189306022,57,294.0465222,,16.2172007,277.82932150000005,535.2495952313006,43.65362547956751,491.5959697517332,66,23,23,31,0,0,0,0,4,35,10,25,0,89,89,89,89,1,1,89,23,1395121,0,1619,0.095879255,7.233575600000001,1.8972549,250.1079981327057,25.177236099999988,0,,0,0,0,0,0,0,,,,0,0,0,True,,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__high_imbalance_seed3202__c2_paper__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__high_imbalance_seed3202__c2_paper__300s
stage3,high_imbalance_seed3202,high_imbalance,20,3,C3-REPLICA,0,300,0,295.07800000021234,False,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,True,True,1.7493134520506337,1.609967450778375,1.7493134520506337,0.07965753713773269,0.8159744851189976,0.18402551488100236,130,295.0409736,33.1134901,15.8963932,261.9274835,537.9700231547146,44.13672921379331,493.8332939409213,66,23,23,41,0,41,0,2,4,42,18,24,0,89,89,89,89,1,1,89,23,1402545.0,0.0,1634.0,0.095879256,7.266599299999999,1.8884315999999992,250.6409993171692,26.694617599999987,0,0,0,0,0,0,0,0,0,0,0,0,6,9,True,objective_nonnegative_G_plus_lambda_P,results/gf_gurobi_performance_recovery_round29/runs/stage1__high_imbalance_seed3202__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/runs/stage1__high_imbalance_seed3202__c3_replica__300s
