run_id,stage,instance,status,process_wall_seconds,hga_seconds,pre_exact_and_serialization_residual_seconds,verification_pre_exact_residual_minus_hga_seconds,external_initialization_to_first_event_seconds,model_build_seconds,model_read_seconds,lp_solver_seconds,lp_work,terminal_mip_solver_seconds,terminal_mip_work,presolve_execution_count,root_relaxation_execution_count,native_presolve_time_seconds,native_root_time_seconds,structural_splits,lp_infeasible_leaves,lp_bound_pruned_leaves,terminal_mip_leaves,lp_processed_leaves,average_lp_solver_seconds,average_lp_work,average_terminal_mip_solver_seconds,average_terminal_mip_work,open_leaves_at_deadline,time_to_first_global_lb_improvement_seconds,time_after_final_global_lb_improvement_seconds,lp_material_improvement_fraction,terminal_mip_global_lb_improvement_fraction,terminal_mip_incumbent_improvement_fraction,evaluated_structural_splits,low_value_structural_splits,low_value_structural_split_fraction,models_created,models_read,optimize_count,peak_memory_gb
stage0_exactness__toy__c3_replica__30s,stage0_exactness,toy,optimal,0.092306,0.0390535,0.092306,0.0532525,0.0,0.0,0.0,0,0,0,0,0,0,unavailable,unavailable,0,0,0,0,0,0.0,0.0,0.0,0.0,1,-1.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
stage0_sentinel__moderate_seed4301__c3_replica__120s,stage0_sentinel,moderate_seed4301,cplex_replica_external_gini_tree_time_limit,117.6489202,19.4739978,35.34292020000001,15.86892240000001,0.319595,11.864219699999998,3.2597474999999982,14.39600002,41.55428374,49.22699995,96.4195859,151,21,unavailable,unavailable,54,1,0,48,103,0.1397669904854369,0.40343964796116505,1.0255624989583334,2.0087413729166665,7,0.319598,6.577299999999994,0.9902912621359223,0.4166666666666667,0.0,51,0,0.0,151,151,151,0.078740522
stage1__high_imbalance_seed3202__c3_replica__300s,stage1,high_imbalance_seed3202,cplex_replica_external_gini_tree_time_limit,294.0455229,15.8542069,33.2395229,17.385315999999996,0.428472,7.2224809999999975,1.8742464000000005,15.822000000000001,44.136729,233.776,490.61168,89,23,unavailable,unavailable,41,2,0,23,66,0.23972727272727273,0.6687383181818182,10.164173913043479,21.33094260869565,18,0.428475,24.36099999999999,0.9696969696969697,0.043478260869565216,0.0,32,0,0.0,89,89,89,0.09587926
stage1__moderate_seed4301__c3_replica__300s,stage1,moderate_seed4301,cplex_replica_external_gini_tree_time_limit,294.0473269,19.6329373,35.43532689999995,15.802389599999952,0.32902,13.2228927,3.6931750000000005,16.277999780000002,46.86054474,221.30700019,459.6745859,171,28,unavailable,unavailable,60,1,0,55,116,0.14032758431034484,0.4039702132758621,4.023763639818182,8.357719743636364,6,0.329023,22.61500000000001,0.9913793103448276,0.43636363636363634,0.0,57,0,0.0,171,171,171,0.103765613
stage1__toy__c3_replica__300s,stage1,toy,optimal,0.0909411,0.0392853,0.0909411,0.051655799999999995,0.0,0.0,0.0,0,0,0,0,0,0,unavailable,unavailable,0,0,0,0,0,0.0,0.0,0.0,0.0,1,-1.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
stage1__V12_M1__c3_replica__300s,stage1,V12_M1,cplex_replica_external_gini_tree_time_limit,294.0372188,6.1814468,12.275218800000005,6.093772000000005,0.183974,18.676764199999994,5.1274003,12.7949985,43.451736,240.376,323.333807,334,103,unavailable,unavailable,120,8,0,103,231,0.055389603896103895,0.18810275324675324,2.333747572815534,3.1391631747572815,11,0.183977,4.105000000000018,0.8268398268398268,0.22330097087378642,0.0,114,31,0.2719298245614035,334,334,334,0.043116902
stage1__V12_M2__c3_replica__300s,stage1,V12_M2,cplex_replica_external_gini_tree_time_limit,294.0520397,6.8617067,13.439039700000023,6.577333000000023,0.290843,16.0852022,4.577979200000001,9.5149995,30.755678,247.551,437.029113,160,48,unavailable,unavailable,58,6,0,48,112,0.08495535267857143,0.27460426785714287,5.1573125,9.1047731875,6,0.290847,1.9490000000000123,0.9464285714285714,0.10416666666666667,0.0,55,0,0.0,160,160,160,0.090709898
stage2__high_imbalance_seed3202__c3_replica__300s,stage2,high_imbalance_seed3202,cplex_replica_external_gini_tree_time_limit,294.0469415,15.8446971,33.10994149999999,17.265244399999993,0.431042,7.273787800000003,1.8809576999999997,15.834,44.136729,233.783,490.11928,89,23,unavailable,unavailable,41,2,0,23,66,0.2399090909090909,0.6687383181818182,10.164478260869565,21.309533913043477,18,0.431045,24.338000000000022,0.9696969696969697,0.043478260869565216,0.0,32,0,0.0,89,89,89,0.09587926
stage2__high_imbalance_seed4201__c3_replica__300s,stage2,high_imbalance_seed4201,cplex_replica_external_gini_tree_time_limit,294.048347,16.6734671,33.172347,16.498879900000002,0.406112,4.7609062,0.9851603999999998,10.7840002,30.074351,243.094,467.09682,47,3,unavailable,unavailable,38,3,0,3,44,0.24509091363636362,0.6835079772727273,81.03133333333334,155.69894,34,0.406116,39.835999999999984,0.9318181818181818,0.0,0.0,21,0,0.0,47,47,47,0.139866659
stage2__high_imbalance_seed5202__c3_replica__300s,stage2,high_imbalance_seed5202,cplex_replica_external_gini_tree_time_limit,294.0547949,13.7939177,35.785794899999985,21.991877199999983,0.407659,3.076770099999999,0.6240645999999997,6.808,19.025517,246.973,465.862,29,1,unavailable,unavailable,25,2,0,1,28,0.24314285714285713,0.67948275,246.973,465.862,24,0.407663,247.4237,0.9285714285714286,0.0,0.0,13,0,0.0,29,29,29,0.167772086
