stage,instance,arm,repetition,leaf_id,event,native_status,telemetry_seconds,global_lb_before,global_lb_after,global_lb_gain,verified_ub_before,verified_ub_after,incumbent_improvement,work,simplex_iterations,in_memory_model_reused,produced_global_lb_gain,produced_incumbent_gain
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.1.1.0.1,terminal_mip_complete,empty,16.8193,1.6068,1.6068,0.0,1.74931,1.74931,0.0,6.59414,18521,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.1.1.0.0,terminal_mip_complete,empty,20.1187,1.60684,1.60684,0.0,1.74931,1.74931,0.0,5.62436,17082,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.1.0.1.0,terminal_mip_complete,empty,23.0866,1.60684,1.60684,0.0,1.74931,1.74931,0.0,4.89877,13444,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.1.0.1.1,terminal_mip_complete,empty,25.7894,1.60684,1.60684,0.0,1.74931,1.74931,0.0,4.33542,9141,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.1.1.1.0,terminal_mip_complete,empty,30.1508,1.60702,1.60702,0.0,1.74931,1.74931,0.0,5.82621,12646,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.1.1.1.1,terminal_mip_complete,empty,34.1002,1.60704,1.60704,0.0,1.74931,1.74931,0.0,6.67496,17547,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.1.0.0.1,terminal_mip_complete,empty,36.9815,1.60704,1.60704,0.0,1.74931,1.74931,0.0,4.72832,13311,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.1.0.0.0,terminal_mip_complete,empty,39.1572,1.60729,1.60729,0.0,1.74931,1.74931,0.0,3.49326,8819,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.0.0.0.1,terminal_mip_complete,empty,45.6628,1.60729,1.60729,0.0,1.74931,1.74931,0.0,11.8357,26527,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.0.0.0.0,terminal_mip_complete,empty,49.6369,1.60738,1.60738,0.0,1.74931,1.74931,0.0,6.6827,13356,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.0.1.1.0,terminal_mip_complete,empty,51.7941,1.60738,1.60738,0.0,1.74931,1.74931,0.0,3.36989,10246,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.0.1.1.1,terminal_mip_complete,empty,54.1793,1.60762,1.60762,0.0,1.74931,1.74931,0.0,3.92898,12144,,False,False
