stage,instance,repetition,lp_optimize_count,terminal_mip_optimize_count,model_count,model_read_count,same_leaf_model_reuse_count,integer_domain_restore_count,explicit_leaf_model_discard_count,model_free_count,environment_count,environment_free_count,read_saved_vs_fresh_event_count,native_tree_reuse_claimed,lifecycle_complete,passed
stage1,high_imbalance_seed3202,0,68,25,68,68,25,68,35,68,1,1,25,False,True,True
stage1,moderate_seed3302,0,143,20,143,143,20,143,70,143,1,1,20,False,True,True
stage1,moderate_seed6301,0,26,2,26,26,2,26,15,26,1,1,2,False,True,True
stage1,tight_T_seed3101,0,30,9,30,30,9,30,21,30,1,1,9,False,True,True
stage1,V12_M1,0,164,69,164,164,69,164,95,164,1,1,69,False,True,True
stage1,V12_M2,0,112,48,112,112,48,112,61,112,1,1,48,False,True,True
stage2,high_imbalance_seed4201,0,52,3,52,52,3,52,27,52,1,1,3,False,True,True
stage2,high_imbalance_seed5202,0,34,1,34,34,1,34,19,34,1,1,1,False,True,True
stage2,high_imbalance_seed5203,0,58,18,58,58,18,58,30,58,1,1,18,False,True,True
stage2,high_imbalance_seed6202,0,8,1,8,8,1,8,5,8,1,1,1,False,True,True
stage2,moderate_seed4302,0,6,2,6,6,2,6,4,6,1,1,2,False,True,True
stage2,moderate_seed5301,0,306,143,306,306,143,306,153,306,1,1,143,False,True,True
stage2,moderate_seed5302,0,51,8,51,51,8,51,25,51,1,1,8,False,True,True
stage2,tight_T_seed4101,0,6,1,6,6,1,6,4,6,1,1,1,False,True,True
stage2,tight_T_seed5102,0,7,1,7,7,1,7,4,7,1,1,1,False,True,True
stage2,tight_T_seed5103,0,9,1,9,9,1,9,6,9,1,1,1,False,True,True
stage2,tight_T_seed6102,0,24,3,24,24,3,24,14,24,1,1,3,False,True,True
stage4,high_imbalance_seed5202,1,34,1,34,34,1,34,19,34,1,1,1,False,True,True
stage4,high_imbalance_seed5202,2,34,1,34,34,1,34,19,34,1,1,1,False,True,True
stage4,moderate_seed3302,1,143,20,143,143,20,143,70,143,1,1,20,False,True,True
stage4,moderate_seed3302,2,143,20,143,143,20,143,70,143,1,1,20,False,True,True
stage4,moderate_seed6301,1,26,2,26,26,2,26,15,26,1,1,2,False,True,True
stage4,moderate_seed6301,2,26,2,26,26,2,26,15,26,1,1,2,False,True,True
stage4,tight_T_seed3101,1,30,9,30,30,9,30,21,30,1,1,9,False,True,True
stage4,tight_T_seed3101,2,30,9,30,30,9,30,21,30,1,1,9,False,True,True
stage4,V12_M2,1,112,48,112,112,48,112,61,112,1,1,48,False,True,True
stage4,V12_M2,2,112,48,112,112,48,112,61,112,1,1,48,False,True,True
