leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"INFEASIBLE",0,277.395,0.244,0.603766,0,2694,0,0.0276581,1a384057ad0c87c939902336636df77dbb296925156197081f56e4a8007f1f17,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,276.999,0.364,1.0121,0,4864,0,0.0292117,e3a19f2a164d3fb6ef929b8e3764a214c86b7e301ddf5773e55a1d051757c01b,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L1_lp.gurobi.log"
L1.0,LP,"OPTIMAL",0,276.485,0.33,0.949539,0,4263,0,0.0310819,91bedbe004bdb736ae2ae9cbf5ce6a782b5d9952805167eff38bae80805c292d,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L1.0_lp.gurobi.log"
L1.1,LP,"OPTIMAL",0,276.004,0.345,0.956658,0,4514,0,0.032952,774c3a69da0c3e5fae17489f4619d187610c94928dbd655c7ff6f0f9e1fbed50,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L1.1_lp.gurobi.log"
L1,PARTIAL_MIP_TARGET,"INTERRUPTED",0,275.623,0.558,1.19862,1,3973,0,0.0418451,e3a19f2a164d3fb6ef929b8e3764a214c86b7e301ddf5773e55a1d051757c01b,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L1_partial_target_mip.gurobi.log"
L2,LP,"OPTIMAL",0,274.928,0.266,0.756267,0,3907,0,0.0444914,dba500cae33a074eb004c9defbee15b9437358d0f4147f548025e4653381d45b,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L2_lp.gurobi.log"
L2.0,LP,"OPTIMAL",0,274.504,0.26,0.726738,0,4039,0,0.0463615,df48a204246c81ae0038e5be3705ed17df4d9d603690000749782889020488dd,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L2.0_lp.gurobi.log"
L2.1,LP,"OPTIMAL",0,274.085,0.257,0.728846,0,3818,0,0.0482317,649d51aaa3075c162a6b90b5e2be5089d1de01ba9bd8e0e21c9c2d2b77826f59,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L2.1_lp.gurobi.log"
L2,MIP,"TIME_LIMIT",0,273.791,273.793,509.667,7921,1.42106e+06,0,0.143635,dba500cae33a074eb004c9defbee15b9437358d0f4147f548025e4653381d45b,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s\external\native_logs\L2_terminal_mip.gurobi.log"
