4
0 11
1 7 0
35 15 0
15 8 0
45 0 6
28 6 0
26 0 9
32 0 6
48 15 0
21 0 19
5 7 0
43 0 18
1 13
6 8 0
24 6 0
10 6 0
16 7 0
39 0 7
12 5 0
49 5 0
23 0 8
27 7 0
7 0 5
17 0 7
8 0 10
41 0 7
2 13
42 7 0
37 0 5
13 7 0
2 0 7
30 7 0
29 5 0
9 8 0
40 8 0
11 0 9
44 0 7
25 0 1
33 0 6
18 0 7
3 12
14 10 0
47 0 6
38 12 0
4 0 9
34 0 7
36 9 0
31 5 0
20 0 6
19 13 0
50 0 17
46 13 0
22 0 17
