4
0 11
46 10 0
16 7 0
33 0 6
30 0 6
40 8 0
26 0 7
10 6 0
1 7 0
31 0 7
15 8 0
20 0 20
1 13
25 8 0
6 7 0
37 7 0
9 0 7
14 0 6
23 4 0
18 4 0
21 8 0
5 5 0
8 0 7
28 0 7
32 0 9
24 0 7
2 13
4 6 0
42 7 0
39 5 0
7 6 0
12 6 0
48 0 24
38 1 0
3 3 0
35 7 0
19 1 0
44 0 14
41 2 0
13 0 6
3 12
36 5 0
17 7 0
22 0 7
47 5 0
43 5 0
29 7 0
34 0 7
45 0 7
2 0 8
27 14 0
49 0 7
11 0 7
