telemetry_seconds,event,leaf_id,global_lb,verified_ub
0.203241,initialize,R,0,0.685597
4.48458,lp_complete,R,0.36161,0.685597
4.48461,atomic_split,R,0.36161,0.685597
8.8913,lp_complete,R.0,0.36161,0.685597
8.89133,atomic_split,R.0,0.36161,0.685597
13.0059,lp_complete,R.1,0.390355,0.685597
13.0059,atomic_split,R.1,0.390355,0.685597
19.5297,lp_infeasible,R.0.0,0.390355,0.685597
24.0207,lp_complete,R.0.1,0.486616,0.685597
24.0207,atomic_split,R.0.1,0.486616,0.685597
36.2412,lp_infeasible,R.0.1.0,0.486616,0.685597
41.001,lp_complete,R.0.1.1,0.540854,0.685597
41.0011,atomic_split,R.0.1.1,0.540854,0.685597
45.7096,lp_complete,R.0.1.1.0,0.540854,0.685597
45.7097,atomic_split,R.0.1.1.0,0.540854,0.685597
50.7768,lp_complete,R.0.1.1.1,0.542319,0.685597
50.7768,atomic_split,R.0.1.1.1,0.542319,0.685597
55.9197,lp_complete,R.0.1.1.0.0,0.542319,0.685597
55.9197,atomic_split,R.0.1.1.0.0,0.542319,0.685597
60.5217,lp_complete,R.0.1.1.0.1,0.543791,0.685597
60.5217,atomic_split,R.0.1.1.0.1,0.543791,0.685597
65.2999,lp_complete,R.0.1.1.0.0.0,0.543791,0.685597
65.2999,atomic_split,R.0.1.1.0.0.0,0.543791,0.685597
70.6683,lp_complete,R.0.1.1.0.0.1,0.550094,0.685597
70.6684,atomic_split,R.0.1.1.0.0.1,0.550094,0.685597
75.1021,lp_complete,R.0.1.1.0.0.1.0,0.550094,0.685597
75.1021,atomic_split,R.0.1.1.0.0.1.0,0.550094,0.685597
80.2589,lp_complete,R.0.1.1.0.0.1.1,0.550808,0.685597
80.259,atomic_split,R.0.1.1.0.0.1.1,0.550808,0.685597
85.1499,lp_complete,R.0.1.1.0.0.1.0.0,0.550808,0.685597
85.15,atomic_split,R.0.1.1.0.0.1.0.0,0.550808,0.685597
90.0766,lp_complete,R.0.1.1.0.0.1.0.1,0.552203,0.685597
90.0766,atomic_split,R.0.1.1.0.0.1.0.1,0.552203,0.685597
94.7207,lp_complete,R.0.1.1.0.0.1.0.1.1,0.552203,0.685597
94.7208,atomic_split,R.0.1.1.0.0.1.0.1.1,0.552203,0.685597
100.569,lp_complete,R.0.1.1.0.0.1.0.1.0,0.552812,0.685597
100.569,atomic_split,R.0.1.1.0.0.1.0.1.0,0.552812,0.685597
105.653,lp_complete,R.0.1.1.0.0.1.0.1.0.0,0.552812,0.685597
