leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,5.239,10.3821,23,33477,0,5.239,10.3821,23,33477,0,0
L1,0,30,30.003,63.5694,133,164567,0,30.003,63.5694,133,164567,0,0
L1,1,57.0512,57.054,121.871,765,617992,0,87.057,185.441,898,782559,0,0
