"instance","exit_code","result_file","log_file","progress_log"
"regen_V8_M2_average","0","results/optimization_update_round9/raw/regen_V8_M2_average_improved_full_60s.json","results/optimization_update_round9/logs/regen_V8_M2_average_improved_full_60s.log","results/optimization_update_round9/raw/progress_regen_V8_M2_average_improved_full_60s.csv"
"regen_V10_M1_average","0","results/optimization_update_round9/raw/regen_V10_M1_average_improved_full_60s.json","results/optimization_update_round9/logs/regen_V10_M1_average_improved_full_60s.log","results/optimization_update_round9/raw/progress_regen_V10_M1_average_improved_full_60s.csv"
"regen_V10_M2_average","0","results/optimization_update_round9/raw/regen_V10_M2_average_improved_full_60s.json","results/optimization_update_round9/logs/regen_V10_M2_average_improved_full_60s.log","results/optimization_update_round9/raw/progress_regen_V10_M2_average_improved_full_60s.csv"
"regen_V10_M2_low","0","results/optimization_update_round9/raw/regen_V10_M2_low_improved_full_60s.json","results/optimization_update_round9/logs/regen_V10_M2_low_improved_full_60s.log","results/optimization_update_round9/raw/progress_regen_V10_M2_low_improved_full_60s.csv"
