mode,exit_code,json,log
ryan-foster,0,results/optimization_update_round9/raw/v12_m2_focus_ryan_foster_60s.json,results/optimization_update_round9/logs/v12_m2_focus_ryan_foster_60s.log
inventory,0,results/optimization_update_round9/raw/v12_m2_focus_inventory_60s.json,results/optimization_update_round9/logs/v12_m2_focus_inventory_60s.log
strong,0,results/optimization_update_round9/raw/v12_m2_focus_strong_60s.json,results/optimization_update_round9/logs/v12_m2_focus_strong_60s.log
