"instance","variant","branch_selection_mode","inventory_branch_candidates","inventory_branch_nodes_created","operation_mode_branch_candidates","operation_mode_branch_nodes_created","strong_branching_calls","strong_branching_candidates_tested","selected_branch_type","branch_nodes_by_type_ryan_foster","branch_nodes_by_type_inventory","branch_nodes_by_type_operation_mode","open_nodes","lower_bound","upper_bound","gap","result_file"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_auto_300s","auto","4","8","0","0","0","0","inventory","0","8","0","5","0.689652394993","0.719065249476","0.040904291376","results/optimization_update_round9/raw/v12_m2_focus_auto_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_focus_auto_300s","auto","7","14","0","0","0","0","inventory","0","14","0","8","0.330637007941","0.369698924539","0.10565872391","results/optimization_update_round9/raw/v12_m1_focus_auto_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_full_import_300s","auto","0","0","0","0","0","0","","0","0","0","1","0.712948394993","0.719065249476","0.00850667514168","results/optimization_update_round9/raw/v12_m2_full_import_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_full_improved_300s","auto","5","10","0","0","0","0","inventory","0","10","0","2","0.282149235152","0.369698924539","0.236813481393","results/optimization_update_round9/raw/v12_m1_full_improved_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_ryan_foster_60s","ryan-foster","0","0","0","0","0","0","","0","0","0","1","0.689652394993","0.719065249476","0.040904291376","results/optimization_update_round9/raw/v12_m2_focus_ryan_foster_60s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_inventory_60s","inventory","0","0","0","0","0","0","","0","0","0","1","0.689652394993","0.719065249476","0.040904291376","results/optimization_update_round9/raw/v12_m2_focus_inventory_60s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_strong_60s","strong","0","0","0","0","0","0","","0","0","0","1","0.689652394993","0.719065249476","0.040904291376","results/optimization_update_round9/raw/v12_m2_focus_strong_60s.json"
"regen_V8_M2_average.txt","regen_V8_M2_average_improved_full_60s","auto","80","160","50","4","0","0","inventory","4","160","4","3","0.0832898629779","0.0856883665732","0.0279910061451","results/optimization_update_round9/raw/regen_V8_M2_average_improved_full_60s.json"
"regen_V10_M1_average.txt","regen_V10_M1_average_improved_full_60s","auto","2","4","0","0","0","0","inventory","0","4","0","4","0.685458100583","0.732684509025","0.0644566765915","results/optimization_update_round9/raw/regen_V10_M1_average_improved_full_60s.json"
"regen_V10_M2_average.txt","regen_V10_M2_average_improved_full_60s","auto","0","0","0","0","0","0","","0","0","0","3","0.0831487959907","0.0978535771983","0.150273312725","results/optimization_update_round9/raw/regen_V10_M2_average_improved_full_60s.json"
"regen_V10_M2_low.txt","regen_V10_M2_low_improved_full_60s","auto","0","0","0","0","0","0","","0","0","0","3","0.197888604566","0.221910998584","0.108252381229","results/optimization_update_round9/raw/regen_V10_M2_low_improved_full_60s.json"
