row,input,last_progress_elapsed,last_progress_event,last_lb,last_ub,last_gap,unresolved_intervals,open_nodes,progress_log,stdout_log,stderr_log,notes
high_imbalance_seed3201,reference/hard_stress/V20_M3/high_imbalance_seed3201.txt,398.1644868,adaptive_split_child_4,1.74210803,2.44340319194,0.287015734552,1,1,results\sealed_paper_pipeline_round\raw\high_imbalance_seed3201.progress.csv,results\sealed_paper_pipeline_round\logs\high_imbalance_seed3201.stdout.log,results\sealed_paper_pipeline_round\logs\high_imbalance_seed3201.stderr.log,process exited or was stopped without final JSON; progress log preserved
tight_T_seed3102,reference/hard_stress/V20_M3/tight_T_seed3102.txt,1552.0917042,focused_split_child_21,0.450176109171,0.600704436685,0.250586342169,6,6,results\sealed_paper_pipeline_round\raw\tight_T_seed3102.progress.csv,results\sealed_paper_pipeline_round\logs\tight_T_seed3102.stdout.log,results\sealed_paper_pipeline_round\logs\tight_T_seed3102.stderr.log,process exited or was stopped without final JSON; progress log preserved
moderate_seed3301,reference/hard_stress/V20_M3/moderate_seed3301.txt,1125.696045,adaptive_split_child_19,0.00921610362464,0.0491525526647,0.8125,10,10,results\sealed_paper_pipeline_round\raw\moderate_seed3301.progress.csv,results\sealed_paper_pipeline_round\logs\moderate_seed3301.stdout.log,results\sealed_paper_pipeline_round\logs\moderate_seed3301.stderr.log,process exited or was stopped without final JSON; progress log preserved
moderate_seed3302,reference/hard_stress/V20_M3/moderate_seed3302.txt,3348.9425442,focused_retry_interval_17,0.027511341546,0.195636206549,0.859375,5,5,results\sealed_paper_pipeline_round\raw\moderate_seed3302.progress.csv,results\sealed_paper_pipeline_round\logs\moderate_seed3302.stdout.log,results\sealed_paper_pipeline_round\logs\moderate_seed3302.stderr.log,process exited or was stopped without final JSON; progress log preserved
