source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,audit_passed,failure_count,failures,warnings
results\sealed_paper_pipeline_round\raw\certificate-basis-test.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,True,0,,
results\sealed_paper_pipeline_round\raw\high_imbalance_seed3202.json,high_imbalance_seed3202.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,True,0,,
results\sealed_paper_pipeline_round\raw\option-consistency-test.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,True,True,True,True,False,True,0,,
results\sealed_paper_pipeline_round\raw\tight_T_seed3101.json,tight_T_seed3101.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,True,0,,
results\sealed_paper_pipeline_round\raw\v12_m1_600s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,True,0,,
results\sealed_paper_pipeline_round\raw\v12_m2_300s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,True,0,,
results\sealed_paper_pipeline_round\raw\v4_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,True,0,,
