"row","json","instance","status","certified_original_problem","objective","lower_bound","upper_bound","gap","unresolved_intervals","open_nodes","finalization_source","solver_finalization_reached","wrapper_synthesized_final_json","process_return_code","abnormal_exit_detected","oracle_total_final_leaves","oracle_attempted","oracle_closed","oracle_timed_out","oracle_split","oracle_remaining_open","oracle_recursive_depth","oracle_children_attempted","oracle_requested_leaf_time","oracle_actual_leaf_time","oracle_total_budget","oracle_budget_policy","oracle_budget_exhausted","bpc_attempted","bpc_closed","exact_pricing_closed","plateau_reason"
"moderate_seed3301_interrupted","moderate_seed3301.json","moderate_seed3301.txt","interrupted_noncertified","False","0.0491525526647","0.00921610362464","0.0491525526647","0.8125","10","10","interrupted_checkpoint","False","True","-9","True","10","0","0","0","0","10","0","0","0.0","0.0","0.0","","False","0","0","0","interrupted_before_solver_final_json"
"moderate_seed3301_oracle600","moderate_seed3301_oracle600.json","moderate_seed3301.txt","gcap_frontier_not_closed","False","0.0491525526647","0.00921610362464","0.0491525526647","0.8125","6","6","solver_final_json","True","False","0","False","6","14","4","7","4","2","2","8","600","600","0","per-leaf","False","2","0","0","automatic_interval_oracle_left_open_leaves"
"moderate_seed3301_oracle_deep","moderate_seed3301_oracle_deep.json","moderate_seed3301.txt","gcap_frontier_not_closed","False","0.0491525526647","0.00921610362464","0.0491525526647","0.8125","6","6","solver_final_json","True","False","0","False","6","20","4","12","7","2","3","14","600","600","0","per-leaf","False","2","0","0","automatic_interval_oracle_left_open_leaves"
