source,status,model_type,bound_valid,bound_scope,objective_sense,has_cutoff_row,has_gamma_rows,best_bound,incumbent,gap_to_cutoff,can_merge_bound,solver_status,basis
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,2.1310045077,0,0.312398674243,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_1_d1_0.json,interval_closed,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0,0,0.0,True,infeasible,interval_exact_cutoff_mip_infeasible
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_1_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,2.1470350489,0,0.296368133043,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_2.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,2.1415664816,2.47487557287,0.301836700343,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_2_d1_0.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,2.1302047564,2.52605387178,0.313198425543,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_2_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,2.2612992411,2.58219010631,0.182103940843,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_3.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,2.393242378,2.71175178006,0.0501608039432,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_3_d1_0.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,2.3915457515,2.63659725256,0.0518574304432,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_3_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,2.5264868261,2.76765821256,-0.0830836441568,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.046498680497,0,0.00265386216775,True,time limit exceeded,interval_exact_cutoff_mip_timeout
