row,status,bpc_fallback_auto_called,bpc_fallback_leaves_attempted,bpc_fallback_leaves_closed,gap,plateau_reason
moderate_seed3301,gcap_frontier_not_closed,True,2,0,0.0280667552335,automatic_interval_oracle_left_open_leaves
tight_T_seed3102,gcap_frontier_not_closed,True,2,0,0.250586342169,automatic_interval_oracle_left_open_leaves
high_imbalance_seed3201,gcap_frontier_not_closed,True,3,0,0.123531471571,automatic_interval_oracle_left_open_leaves
v12_m2_300s,optimal,False,0,0,0,certified
v12_m1_600s,optimal,False,0,0,0,certified
high_imbalance_seed3202,optimal,False,0,0,0,certified
tight_T_seed3101,optimal,False,0,0,0,certified
