interval_id,gamma_L,gamma_U,status,certificate_basis,solver_status,proven_infeasible,feasible_improving,timeout,best_bound,objective,runtime_seconds,depth,parent_id,time_limit_used,budget_policy,model_type,bound_valid,bound_scope,can_merge_bound,gap_to_cutoff,bound_used_for_merge,closed_by_bound,json_path,lp_path,log_path
1,0.0122881381662,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.046498680497,0,600.1417436,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00265386216775,0.046498680497,false,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_1.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_24576276_930342752\interval_cutoff.cplex.log
1_d1_0,0.0122881381662,0.0184322072493,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048284627206,0,600.0893012,1,1,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.000867915458745,0.048284627206,false,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_1_d1_0.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_1_d1_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_12288138_18432207_930942901\interval_cutoff.cplex.log
1_d1_1,0.0184322072493,0.0245762763324,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.047772957989,0,600.2803819,1,1,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.00137958467575,0.047772957989,false,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_1_d1_1.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_1_d1_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_18432207_24576276_931542996\interval_cutoff.cplex.log
2,0.0245762763324,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048449190663,0,601.1264152,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.000703352001745,0.048449190663,false,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_2.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_2.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_36864414_932143285\interval_cutoff.cplex.log
2_d1_0,0.0245762763324,0.0307203454155,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.048467287404,0,600.5526577,1,2,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,0.000685255260745,0.048467287404,false,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_2_d1_0.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_2_d1_0.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_24576276_30720345_932744417\interval_cutoff.cplex.log
2_d1_1,0.0307203454155,0.0368644144986,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.051047888114,0,600.3875396,1,2,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,-0.00189534544925,0.051047888114,true,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_2_d1_1.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_2_d1_1.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_30720345_36864414_933344979\interval_cutoff.cplex.log
3,0.0368644144986,0.0491525526647,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,false,false,true,0.053717932377,0,600.780858,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,-0.00456538971225,0.053717932377,true,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_3.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_3.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_36864414_49152553_933945370\interval_cutoff.cplex.log
9,0.0107521208954,0.0122881381662,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,2.2997024,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,inf,0.0491525526647,true,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_9.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_9.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_10752121_12288138_934546158\interval_cutoff.cplex.log
11,0.00998411226003,0.0107521208954,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,2.4079449,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,inf,0.0491525526647,true,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_11.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_11.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_9984112_10752121_934548465\interval_cutoff.cplex.log
13,0.00960010794233,0.00998411226003,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,true,false,false,0,0,2.2634821,0,root,600,per-leaf,original_compact_objective_bound,true,original_fixed_interval,true,inf,0.0491525526647,true,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_13.json,results/oracle_bound_merge_round/raw\moderate_seed3301_auto_oracle\interval_13.lp,results\interval_cutoff_work\moderate_seed3301_interval_cutoff_9600108_9984112_934550878\interval_cutoff.cplex.log
