"instance","variant","status","lower_bound","upper_bound","gap","certified_original_problem","vehicle_indexed_y_variables","vehicle_transfer_flow_variables","bound_time_seconds","result_file"
"high_imbalance_seed3201.txt","high_imbalance_seed3201_bpc_fallback_300s","gcap_frontier_not_closed","2.14348953154","2.44340319194","0.122744236967","False","300","3492","492.1559017","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\high_imbalance_seed3201_bpc_fallback_300s.json"
"high_imbalance_seed3201.txt","high_imbalance_seed3201_improved_relax_300s","gcap_frontier_not_closed","2.14348953154","2.44340319194","0.122744236967","False","240","1746","320.8854039","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\high_imbalance_seed3201_improved_relax_300s.json"
"high_imbalance_seed3202.txt","high_imbalance_seed3202_improved_relax_1200s","gcap_frontier_not_closed","1.60644024991","1.74931345205","0.081673871528","False","1080","17493","1188.1358765","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\high_imbalance_seed3202_improved_relax_1200s.json"
"high_imbalance_seed3202.txt","high_imbalance_seed3202_improved_relax_300s","gcap_frontier_not_closed","1.57423364041","1.74931345205","0.100084871258","False","300","4116","298.1545998","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\high_imbalance_seed3202_improved_relax_300s.json"
"moderate_seed3301.txt","moderate_seed3301_bpc_fallback_300s","gcap_frontier_not_closed","0.0427477151184","0.0491525526647","0.130305288314","False","540","8664","321.0326689","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\moderate_seed3301_bpc_fallback_300s.json"
"moderate_seed3301.txt","moderate_seed3301_improved_relax_300s","gcap_frontier_not_closed","0.0427477151184","0.0491525526647","0.130305288314","False","480","7581","282.9692001","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\moderate_seed3301_improved_relax_300s.json"
"moderate_seed3302.txt","moderate_seed3302_improved_relax_300s","gcap_frontier_not_closed","0.131033733249","0.195636206549","0.33021736845","False","420","7980","290.8503265","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\moderate_seed3302_improved_relax_300s.json"
"tight_T_seed3101.txt","tight_T_seed3101_improved_relax_300s","gcap_frontier_not_closed","0.00336907581205","0.107252734134","0.968587506517","False","420","7581","289.8263093","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\tight_T_seed3101_improved_relax_300s.json"
"tight_T_seed3102.txt","tight_T_seed3102_bpc_fallback_300s","gcap_frontier_not_closed","0.469176890001","0.600704436685","0.21895551065","False","360","5145","374.5806799","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\tight_T_seed3102_bpc_fallback_300s.json"
"tight_T_seed3102.txt","tight_T_seed3102_improved_relax_300s","gcap_frontier_not_closed","0.469176890001","0.600704436685","0.21895551065","False","300","4116","303.872909","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\tight_T_seed3102_improved_relax_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_best_1200s","optimal","0.357200583208","0.357200583208","0","True","228","1188","460.8823549","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\v12_m1_best_1200s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_bpc_fallback_300s","gcap_frontier_not_closed","0.331296710948","0.357200583208","0.0725191208467","False","120","660","331.9101857","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\v12_m1_bpc_fallback_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_improved_relax_300s","gcap_frontier_not_closed","0.332675660948","0.357200583208","0.0686586848205","False","132","528","287.865906","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\v12_m1_improved_relax_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_core_300s","gcap_frontier_not_closed","0.676165688664","0.718504070755","0.0589257372558","False","216","1320","286.5963914","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\v12_m2_core_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_core_origcmd_300s","optimal","0.718504070755","0.718504070755","0","True","216","792","192.6612167","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\v12_m2_core_origcmd_300s.json"
"gcap_smoke_V4_M1.txt","v4_smoke_core_30s","optimal","0","0","0","True","0","0","0","E:\codes\ExactEBRP\results\relaxation_bound_round\raw\v4_smoke_core_30s.json"
