number,id,arm,stage,file,sha256,scope,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
11,D1,Single-off-off,full_easy,results\gf_passive_threshold_conflicts_round62\local_raw\full_easy\D1\Single-off-off\result.json,7b9bb279b83ca775ed09a53630d175ab00e6aff91cc76d23f91452415a57815e,original_problem,0.0,0.0,0.0,8,14,14,2319.5125514452393,True
12,D1,Single-passive-cert-off,full_easy,results\gf_passive_threshold_conflicts_round62\local_raw\full_easy\D1\Single-passive-cert-off\external\round61\archive_witness.json,20174cf1ef02071aba13a0e3e97234779ea3bad6dd2d509bfc86e1ac12c0adeb,original_problem,0.0,0.0,0.0,8,14,14,3215.1759269577524,True
12,D1,Single-passive-cert-off,full_easy,results\gf_passive_threshold_conflicts_round62\local_raw\full_easy\D1\Single-passive-cert-off\result.json,12a2d004da9156639fb25eeae28ce3c71a829685398d6ec9420e3b91c4a64d67,original_problem,0.0,0.0,0.0,8,14,14,3215.1759269577524,True
13,D3,Single-off-off,full_screen,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-off-off\result.json,0452090f30c8ad3fe86ca01470381239bf63258b90819964fb826ca8d936a54d,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
14,D3,Single-passive-observe-off,full_screen,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-passive-observe-off\external\round61\archive_witness.json,da22c8bc932f32bec9427b2cca01918665fb9d7bc67039ece383d72b956c1f1c,original_problem,0.07095552388769952,0.02735213701711395,0.29068924580390376,10,27,25,2740.501500702626,True
14,D3,Single-passive-observe-off,full_screen,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-passive-observe-off\result.json,4fc8e8607929816526c25e827927e8ff0af60f24f86090e2012415f1829cec8d,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
15,D3,Single-passive-cert-off,full_screen,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-passive-cert-off\external\round61\archive_witness.json,da22c8bc932f32bec9427b2cca01918665fb9d7bc67039ece383d72b956c1f1c,original_problem,0.07095552388769952,0.02735213701711395,0.29068924580390376,10,27,25,2740.501500702626,True
15,D3,Single-passive-cert-off,full_screen,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-passive-cert-off\result.json,6f6ada72b6647336c9cb6e999cf97583ea9a24f1e2191c39d82e303b5871b40c,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
22,D1,passive-native-stop,native_micro,results\gf_passive_threshold_conflicts_round62\local_raw\native_micro\D1\archive\archive_witness.json,20174cf1ef02071aba13a0e3e97234779ea3bad6dd2d509bfc86e1ac12c0adeb,original_problem,0.0,0.0,0.0,8,14,14,3215.1759269577524,True
23,D4,off,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\off\native_witness.json,77227b8c60896e2364ef79f1b85a31fca85c07ad65e200205f1b6b11125559ac,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
24,D4,events,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\events\native_witness.json,33ff6633809fcc9a805c53bf07191629f669d8bd57a81f1a84d91a8fd1b4b5ab,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
25,D4,conflicts,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\conflicts\native_witness.json,6ca63eaf257257c9990f32ef9802408eb49000cd1105066c4f83426d349589a5,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
26,D4,projection,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\projection\native_witness.json,31150bfe248a9113a3c5da0c07e6396a07d974de46a263d16929111976c4cce5,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
