charged,number,id,stage,arm,cap,wall,returncode,watchdog,within_budget,exe_sha256,performance_eligible,performance_exclusion_reason,status,objective,lower_bound,upper_bound,gap,strict_certified_original_problem,round62_external_stop_requested,round62_external_certificate,round62_control_upper_bound,round62_archive_upper_bound,round62_archive_construction_seconds,external_gini_tree_optimize_count,external_gini_tree_lp_optimize_count,round62_archive_evidence_persisted,external_gini_tree_backend_parameter_roundtrip_valid,external_gini_tree_partial_mip_optimize_count,external_gini_tree_terminal_mip_optimize_count,external_gini_tree_final_leaf_count,external_gini_tree_open_leaf_count,external_gini_tree_split_count,external_gini_tree_cumulative_work,external_gini_tree_model_build_seconds,absolute_gap,gap_source,scope,work,nodes,optimizer_calls,native_statuses,parameter_readback,fixed_interval_certificate,native_status,model_build_seconds,root_relaxation_bound,final_root_cut_bound,root_work,root_time_seconds,rows,columns,nonzeros,native_model_fingerprint,official_PGRB_fingerprint_matches
False,,D4,preflight,off,120,0.20300000021234155,0,False,True,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,D4,preflight,events,120,0.10999999986961484,0,False,True,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,D4,preflight,conflicts,120,0.10900000017136335,0,False,True,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,D4,preflight,projection,120,0.10999999986961484,0,False,True,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,D4,preflight,service,120,0.10900000017136335,0,False,True,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,D4,preflight,service-conflicts,120,0.09299999987706542,0,False,True,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,D3,preflight,off,120,0.11000000033527613,0,False,True,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1,D4,proof_v1,automatic-thresholds,20,0.07800000021234155,0,False,True,43406dae154c485f318cae7939cdd346d40f990b43bbc624bc14f6a45fa37607,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,2,D3,proof_v1,automatic-thresholds,20,0.015999999828636646,0,False,True,43406dae154c485f318cae7939cdd346d40f990b43bbc624bc14f6a45fa37607,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,3,D6,proof_v1,automatic-thresholds,20,0.014999999664723873,0,False,True,43406dae154c485f318cae7939cdd346d40f990b43bbc624bc14f6a45fa37607,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,4,D7,proof_v1,automatic-thresholds,20,0.016000000294297934,0,False,True,43406dae154c485f318cae7939cdd346d40f990b43bbc624bc14f6a45fa37607,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,5,D4,lp_v1,off,120,0.3130000000819564,0,False,True,8eedc28845e00cbab6cb6d666a77cf6a98fe7cdb3d82dc7a6ce57fae1fe6a3dc,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,6,D4,lp_v1,events,120,0.17200000025331974,0,False,True,8eedc28845e00cbab6cb6d666a77cf6a98fe7cdb3d82dc7a6ce57fae1fe6a3dc,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
