stage,id,mode,objective,work,seconds,rows,columns,nonzeros
lp_v1,D4,conflicts,0.09394825539359326,0.10898648399695994,0.1353901,4268,1440,19701
lp_v1,D4,events,0.09394825539359326,0.11095483672054833,0.1368486,4236,1440,19573
lp_v1,D4,off,0.09394825539359326,0.11451701307472226,0.1903911,4136,1404,19373
lp_v1,D4,projection,0.09394825539359326,0.1220825172242542,0.1354466,4168,1404,19501
lp_v1,D4,service,0.09394825539359326,0.12650242028857187,0.144021,4344,1440,20005
lp_v1,D4,service-conflicts,0.09394825539359326,0.0979478922536963,0.133775,4376,1440,20133
lp_v2,D3,off,0.02055001075057826,0.07267402604151328,0.116921,4143,1406,20074
lp_v2,D3,projection,0.02055001075057826,0.06257616115025026,0.1210709,4175,1406,20202
lp_v2,D3,projection-rlt,0.02055001075057826,0.06885743385268094,0.1253378,4239,1406,20650
lp_v2,D4,off,0.09394825539359326,0.11451701307472226,0.1300995,4136,1404,19373
lp_v2,D4,projection,0.09394825539359326,0.1220825172242542,0.1383674,4168,1404,19501
lp_v2,D4,projection-rlt,0.09394825539359325,0.08833056511023957,0.1311413,4232,1404,19949
