id,stage,scope,baseline,candidate,baseline_number,candidate_number,cap,baseline_certified,candidate_certified,baseline_wall,candidate_wall,baseline_UB,candidate_UB,baseline_LB,candidate_LB,baseline_absolute_gap,candidate_absolute_gap,baseline_relative_gap,candidate_relative_gap,baseline_Work,candidate_Work,exe_sha256,certification_seconds_saved,certification_fraction_saved,decision,absolute_gap_saved,gap_fraction_saved,comparison_kind
D1,full_easy,full_original_problem,Single-off-off,Single-passive-cert-off,11,12,120,True,True,0.4679999998770654,0.07799999974668026,0,0,0,0,0,0,0,0,0.25640069553746414,0,433ecc326369830404a048243be7572c780a19f0701961495f55c76c7190f269,0.39000000013038516,0.8333333338308347,below_time_threshold,,,
D3,full_screen,full_original_problem,Single-off-off,Single-passive-observe-off,13,14,120,False,False,117.06300000008196,117.04700000025332,0.04500155005562836,0.04500155005562836,0.038629880805387005,0.038629880805387005,0.006371669250241352,0.006371669250241352,0.1415877729181563,0.1415877729181563,186.36029785748352,186.5256823410994,433ecc326369830404a048243be7572c780a19f0701961495f55c76c7190f269,,,below_gap_threshold,0.0,0.0,
D3,full_screen,full_original_problem,Single-off-off,Single-passive-cert-off,13,15,120,False,False,117.06300000008196,117.06300000008196,0.04500155005562836,0.04500155005562836,0.038629880805387005,0.038629880805387005,0.006371669250241352,0.006371669250241352,0.1415877729181563,0.1415877729181563,186.36029785748352,186.2809877876727,433ecc326369830404a048243be7572c780a19f0701961495f55c76c7190f269,,,below_gap_threshold,0.0,0.0,
D4,mip_v2,fixed_F0_improving_domain,off,events,23,24,120,True,True,89.81199999991804,94.84299999987707,0.506343307565206,0.506343307565206,0.5063433072459947,0.5063433075652061,3.1921121301792255e-10,0,6.304244733733646e-10,0,140.87267731766892,148.47928382138028,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,-5.030999999959022,-0.05601701331630086,below_time_threshold,,,
D4,mip_v2,fixed_F0_improving_domain,off,conflicts,23,25,120,True,True,89.81199999991804,90.93800000008196,0.506343307565206,0.506343307565206,0.5063433072459947,0.5063433027855354,3.1921121301792255e-10,4.779670548238357e-09,6.304244733733646e-10,9.439584718166419e-09,140.87267731766892,139.07161248059046,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,-1.1260000001639128,-0.01253730013990269,below_time_threshold,,,
D4,mip_v2,fixed_F0_improving_domain,events,conflicts,24,25,120,True,True,94.84299999987707,90.93800000008196,0.506343307565206,0.506343307565206,0.5063433075652061,0.5063433027855354,0,4.779670548238357e-09,0,9.439584718166419e-09,148.47928382138028,139.07161248059046,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,3.904999999795109,0.04117330746391585,below_time_threshold,,,
D4,mip_v2,fixed_F0_improving_domain,off,projection,23,26,120,True,True,89.81199999991804,54.89099999982864,0.506343307565206,0.506343307565206,0.5063433072459947,0.5063433054486712,3.1921121301792255e-10,2.1165347252605216e-09,6.304244733733646e-10,4.180038905694351e-09,140.87267731766892,85.83094740223551,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,34.92100000008941,0.3888233198249819,time_gain,,,
D4,mip_v2,fixed_F0_improving_domain,off,service,23,27,120,True,False,89.81199999991804,118.0789999999106,0.506343307565206,0.506422789224163,0.5063433072459947,0.45272457241301445,3.1921121301792255e-10,0.0536982168111485,6.304244733733646e-10,0.10603436092086987,140.87267731766892,195.10711952941733,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,,,certificate_loss,,,
D4,mip_v2,fixed_F0_improving_domain,off,service-conflicts,23,28,120,True,True,89.81199999991804,100.89000000013039,0.506343307565206,0.506343307565206,0.5063433072459947,0.506343305439138,3.1921121301792255e-10,2.126067988328373e-09,6.304244733733646e-10,4.1988665724678936e-09,140.87267731766892,157.49094082507938,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,-11.078000000212342,-0.12334654612103561,time_loss,,,
D4,mip_v2,fixed_F0_improving_domain,service,service-conflicts,27,28,120,False,True,118.0789999999106,100.89000000013039,0.506422789224163,0.506343307565206,0.45272457241301445,0.506343305439138,0.0536982168111485,2.126067988328373e-09,0.10603436092086987,4.1988665724678936e-09,195.10711952941733,157.49094082507938,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,,,certificate_gain,,,
