number,charged,id,stage,arm,kind,cap,complete,optimizer_calls,call_evidence,wall_seconds,watchdog,within_budget,returncode,build_freeze,executable_sha256,destination
,False,D4,preflight,off,build-only,120,True,0,no optimizer in this executable/mode,0.20300000021234155,False,True,0,,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,results\gf_passive_threshold_conflicts_round62\local_raw\preflight\D4\off
,False,D4,preflight,events,build-only,120,True,0,no optimizer in this executable/mode,0.10999999986961484,False,True,0,,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,results\gf_passive_threshold_conflicts_round62\local_raw\preflight\D4\events
,False,D4,preflight,conflicts,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,results\gf_passive_threshold_conflicts_round62\local_raw\preflight\D4\conflicts
,False,D4,preflight,projection,build-only,120,True,0,no optimizer in this executable/mode,0.10999999986961484,False,True,0,,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,results\gf_passive_threshold_conflicts_round62\local_raw\preflight\D4\projection
,False,D4,preflight,service,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,results\gf_passive_threshold_conflicts_round62\local_raw\preflight\D4\service
,False,D4,preflight,service-conflicts,build-only,120,True,0,no optimizer in this executable/mode,0.09299999987706542,False,True,0,,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,results\gf_passive_threshold_conflicts_round62\local_raw\preflight\D4\service-conflicts
,False,D3,preflight,off,build-only,120,True,0,no optimizer in this executable/mode,0.11000000033527613,False,True,0,,e9f544f9ef460ca71c90de393ec8bb333ae771369ab6a7469366632b5a4ddc58,results\gf_passive_threshold_conflicts_round62\local_raw\preflight\D3\off
1,True,D4,proof_v1,automatic-thresholds,proof,20,True,0,no optimizer in this executable/mode,0.07800000021234155,False,True,0,,43406dae154c485f318cae7939cdd346d40f990b43bbc624bc14f6a45fa37607,results\gf_passive_threshold_conflicts_round62\local_raw\proof_v1\D4
2,True,D3,proof_v1,automatic-thresholds,proof,20,True,0,no optimizer in this executable/mode,0.015999999828636646,False,True,0,,43406dae154c485f318cae7939cdd346d40f990b43bbc624bc14f6a45fa37607,results\gf_passive_threshold_conflicts_round62\local_raw\proof_v1\D3
3,True,D6,proof_v1,automatic-thresholds,proof,20,True,0,no optimizer in this executable/mode,0.014999999664723873,False,True,0,,43406dae154c485f318cae7939cdd346d40f990b43bbc624bc14f6a45fa37607,results\gf_passive_threshold_conflicts_round62\local_raw\proof_v1\D6
4,True,D7,proof_v1,automatic-thresholds,proof,20,True,0,no optimizer in this executable/mode,0.016000000294297934,False,True,0,,43406dae154c485f318cae7939cdd346d40f990b43bbc624bc14f6a45fa37607,results\gf_passive_threshold_conflicts_round62\local_raw\proof_v1\D7
5,True,D4,lp_v1,off,LP,120,True,1,single synchronous native call; native log retained,0.3130000000819564,False,True,0,,8eedc28845e00cbab6cb6d666a77cf6a98fe7cdb3d82dc7a6ce57fae1fe6a3dc,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v1\D4\off
6,True,D4,lp_v1,events,LP,120,True,1,single synchronous native call; native log retained,0.17200000025331974,False,True,0,,8eedc28845e00cbab6cb6d666a77cf6a98fe7cdb3d82dc7a6ce57fae1fe6a3dc,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v1\D4\events
7,True,D4,lp_v1,conflicts,LP,120,True,1,single synchronous native call; native log retained,0.17200000025331974,False,True,0,,8eedc28845e00cbab6cb6d666a77cf6a98fe7cdb3d82dc7a6ce57fae1fe6a3dc,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v1\D4\conflicts
8,True,D4,lp_v1,projection,LP,120,True,1,single synchronous native call; native log retained,0.17200000025331974,False,True,0,,8eedc28845e00cbab6cb6d666a77cf6a98fe7cdb3d82dc7a6ce57fae1fe6a3dc,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v1\D4\projection
9,True,D4,lp_v1,service,LP,120,True,1,single synchronous native call; native log retained,0.17200000025331974,False,True,0,,8eedc28845e00cbab6cb6d666a77cf6a98fe7cdb3d82dc7a6ce57fae1fe6a3dc,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v1\D4\service
10,True,D4,lp_v1,service-conflicts,LP,120,True,1,single synchronous native call; native log retained,0.17200000025331974,False,True,0,,8eedc28845e00cbab6cb6d666a77cf6a98fe7cdb3d82dc7a6ce57fae1fe6a3dc,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v1\D4\service-conflicts
11,True,D1,full_easy,Single-off-off,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_easy\D1\Single-off-off\external\paper_optimize_ledger.csv,0.4679999998770654,False,True,0,,433ecc326369830404a048243be7572c780a19f0701961495f55c76c7190f269,results\gf_passive_threshold_conflicts_round62\local_raw\full_easy\D1\Single-off-off
12,True,D1,full_easy,Single-passive-cert-off,performance,120,True,0,results\gf_passive_threshold_conflicts_round62\local_raw\full_easy\D1\Single-passive-cert-off\external\paper_optimize_ledger.csv,0.07799999974668026,False,True,0,,433ecc326369830404a048243be7572c780a19f0701961495f55c76c7190f269,results\gf_passive_threshold_conflicts_round62\local_raw\full_easy\D1\Single-passive-cert-off
13,True,D3,full_screen,Single-off-off,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-off-off\external\paper_optimize_ledger.csv,117.06300000008196,False,True,0,,433ecc326369830404a048243be7572c780a19f0701961495f55c76c7190f269,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-off-off
14,True,D3,full_screen,Single-passive-observe-off,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-passive-observe-off\external\paper_optimize_ledger.csv,117.04700000025332,False,True,0,,433ecc326369830404a048243be7572c780a19f0701961495f55c76c7190f269,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-passive-observe-off
15,True,D3,full_screen,Single-passive-cert-off,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-passive-cert-off\external\paper_optimize_ledger.csv,117.06300000008196,False,True,0,,433ecc326369830404a048243be7572c780a19f0701961495f55c76c7190f269,results\gf_passive_threshold_conflicts_round62\local_raw\full_screen\D3\Single-passive-cert-off
16,True,D4,lp_v2,off,LP,120,True,1,single synchronous native call; native log retained,0.23399999970570207,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v2\D4\off
17,True,D4,lp_v2,projection,LP,120,True,1,single synchronous native call; native log retained,0.1869999999180436,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v2\D4\projection
18,True,D4,lp_v2,projection-rlt,LP,120,True,1,single synchronous native call; native log retained,0.17200000025331974,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v2\D4\projection-rlt
19,True,D3,lp_v2,off,LP,120,True,1,single synchronous native call; native log retained,0.1559999999590218,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v2\D3\off
20,True,D3,lp_v2,projection,LP,120,True,1,single synchronous native call; native log retained,0.1559999999590218,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v2\D3\projection
21,True,D3,lp_v2,projection-rlt,LP,120,True,1,single synchronous native call; native log retained,0.17199999978765845,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\lp_v2\D3\projection-rlt
22,True,D1,native_micro,passive-native-stop,native-micro,20,True,1,results\gf_passive_threshold_conflicts_round62\local_raw\native_micro\D1\micro_result.json,0.1880000000819564,False,True,0,build_freeze_v2.json,cb057d167ca107ff73d251308d059c7e4c1dd4c1357621863b3f6b2f0d5e9113,results\gf_passive_threshold_conflicts_round62\local_raw\native_micro\D1
23,True,D4,mip_v2,off,performance,120,True,1,single synchronous native call; native log retained,89.81199999991804,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\off
24,True,D4,mip_v2,events,performance,120,True,1,single synchronous native call; native log retained,94.84299999987707,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\events
25,True,D4,mip_v2,conflicts,performance,120,True,1,single synchronous native call; native log retained,90.93800000008196,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\conflicts
26,True,D4,mip_v2,projection,performance,120,True,1,single synchronous native call; native log retained,54.89099999982864,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\projection
27,True,D4,mip_v2,service,performance,120,True,1,single synchronous native call; native log retained,118.0789999999106,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\service
28,True,D4,mip_v2,service-conflicts,performance,120,True,1,single synchronous native call; native log retained,100.89000000013039,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\service-conflicts
29,True,D4,mip_v2,projection-rlt,performance,120,True,1,single synchronous native call; native log retained,57.10900000017136,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\projection-rlt
30,True,D3,mip_v2,off,performance,120,True,1,single synchronous native call; native log retained,118.0789999999106,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D3\off
31,True,D3,mip_v2,projection,performance,120,True,1,single synchronous native call; native log retained,118.09400000004098,False,True,0,build_freeze_v2.json,f9568492b37ea1809c94adbeb7167c1d07cc312fd9bbf3b6919251d8033773da,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D3\projection
32,True,D6,full_medium_v2,Single-off-off,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-off-off\external\paper_optimize_ledger.csv,117.21799999987707,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-off-off
33,True,D6,full_medium_v2,Single-off-projection,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-off-projection\external\paper_optimize_ledger.csv,117.07800000021234,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-off-projection
