"instance","mode","status","objective","lower_bound","upper_bound","gap","runtime_seconds","verifier_passed","certified_original_problem","incumbent_source","incumbent_generation_method","incumbent_generation_time_seconds","route_pool_incumbent_found","route_pool_incumbent_objective","route_pool_incumbent_verified","result_file","log_file"
"v12_m1_average","compact","gcap_frontier_not_closed","0.382683045935","0.0727377986905","0.382683045935","0.809926780235","36.6675719","True","False","compact tailored seed","compact","8.1434823","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_compact.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_compact.stdout.txt"
"v12_m1_average","compact-cplex","gcap_frontier_not_closed","0.382683045935","0.0727377986905","0.382683045935","0.809926780235","36.7195209","True","False","compact CPLEX seed","compact-cplex","8.1391822","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_compact-cplex.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_compact-cplex.stdout.txt"
"v12_m1_average","greedy","gcap_frontier_not_closed","0.393080018005","0.0727377986905","0.393080018005","0.814954219602","48.2762761","True","False","BPC-owned greedy","greedy","0.0004235","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_greedy.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_greedy.stdout.txt"
"v12_m1_average","local","gcap_frontier_not_closed","0.369698924539","0.0727377986905","0.369698924539","0.803251257003","47.1288066","True","False","BPC-owned local","local","0.0829818","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_local.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_local.stdout.txt"
"v12_m1_average","pool","gcap_frontier_not_closed","0.369698924539","0.0727377986905","0.369698924539","0.803251257003","47.2596461","True","False","BPC-owned pool","pool","0.0827893","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_pool.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_pool.stdout.txt"
"v12_m1_average","portfolio","gcap_frontier_not_closed","0.369698924539","0.0727377986905","0.369698924539","0.803251257003","45.9983403","True","False","BPC-owned portfolio","portfolio","8.1781137","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_portfolio.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_portfolio.stdout.txt"
"v12_m1_average","pricing","gcap_frontier_not_closed","0.493696053863","0.0727377986905","0.493696053863","0.852666842035","48.7791767","True","False","empty-route incumbent","pricing","8.1823058","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_pricing.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_pricing.stdout.txt"
"v12_m1_average","route_pool","diagnostic_complete","0.393080018005","0","0.393080018005","0","0.0007142","True","False","","","0","True","0.393080018005","True","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_route_pool.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_route_pool.stdout.txt"
"v12_m1_average","strong","gcap_frontier_not_closed","0.369698924539","0.0727377986905","0.369698924539","0.803251257003","47.1119974","True","False","BPC-owned strong","strong","0.121691","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m1_average_strong.json","results\optimization_update_round5\logs\incumbent_v12_m1_average_strong.stdout.txt"
"v12_m2_average","compact","gcap_frontier_not_closed","1.00822320985","0.180148492107","1.00822320985","0.821320824251","39.3210435","True","False","empty-route incumbent","compact","8.1904634","False","0","False","E:\codes\ExactEBRP\results\optimization_update_round5\raw\incumbent_v12_m2_average_compact.json","results\optimization_update_round5\logs\incumbent_v12_m2_average_compact.stdout.txt"
