"instance","variant","route_pool_columns_raw","route_pool_columns_after_dominance","route_pool_columns_removed_by_dominance","route_pool_incumbent_master_calls","route_pool_incumbent_master_states","route_pool_incumbent_master_time_seconds","route_pool_incumbent_found","route_pool_incumbent_objective","route_pool_incumbent_verified","route_pool_incumbent_source","incumbent_source","objective","upper_bound","gap","result_file","log_file"
"v12_m1_average","compat_flow_only","1","1","0","0","0","0","False","0","False","","compact CPLEX seed","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_compat_flow_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_compat_flow_only.stdout.txt"
"v12_m1_average","focused_retry_only","1","1","0","0","0","0","False","0","False","","compact CPLEX seed","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_focused_retry_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_focused_retry_only.stdout.txt"
"v12_m1_average","focused_route_pool","1","1","0","3","9","1.26E-05","True","0.382683045935","True","before_final_frontier_summary","compact CPLEX seed","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_focused_route_pool.json","results\optimization_update_round5\logs\ablation_v12_m1_average_focused_route_pool.stdout.txt"
"v12_m1_average","improved_full","1","1","0","2","6","9.7E-06","True","0.382683045935","True","before_final_frontier_summary","compact CPLEX seed","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_improved_full.json","results\optimization_update_round5\logs\ablation_v12_m1_average_improved_full.stdout.txt"
"v12_m1_average","improved_full_long","1","1","0","3","9","1.31E-05","True","0.382683045935","True","before_final_frontier_summary","compact CPLEX seed","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_improved_full_long.json","results\optimization_update_round5\logs\ablation_v12_m1_average_improved_full_long.stdout.txt"
"v12_m1_average","round4_improved_baseline","1","1","0","0","0","0","False","0","False","","compact CPLEX seed","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_round4_improved_baseline.json","results\optimization_update_round5\logs\ablation_v12_m1_average_round4_improved_baseline.stdout.txt"
"v12_m1_average","route_pool_incumbent_only","1","1","0","3","9","9E-06","True","0.382683045935","True","before_final_frontier_summary","compact CPLEX seed","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_route_pool_incumbent_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_route_pool_incumbent_only.stdout.txt"
"v12_m2_average","compat_flow_only","2","2","0","0","0","0","False","0","False","","BPC-owned portfolio","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_compat_flow_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_compat_flow_only.stdout.txt"
"v12_m2_average","focused_retry_only","2","2","0","0","0","0","False","0","False","","BPC-owned portfolio","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_retry_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_focused_retry_only.stdout.txt"
"v12_m2_average","focused_route_pool","2","2","0","4","28","2.13E-05","True","0.759438494406","True","before_final_frontier_summary","BPC-owned portfolio","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_route_pool.json","results\optimization_update_round5\logs\ablation_v12_m2_average_focused_route_pool.stdout.txt"
"v12_m2_average","improved_full","2","2","0","4","28","2.16E-05","True","0.759438494406","True","before_final_frontier_summary","BPC-owned portfolio","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full.json","results\optimization_update_round5\logs\ablation_v12_m2_average_improved_full.stdout.txt"
"v12_m2_average","improved_full_long","2","2","0","4","28","2.3E-05","True","0.759438494406","True","before_final_frontier_summary","BPC-owned portfolio","0.759438494406","0.759438494406","0.234069346518","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full_long.json","results\optimization_update_round5\logs\ablation_v12_m2_average_improved_full_long.stdout.txt"
"v12_m2_average","round4_improved_baseline","2","2","0","0","0","0","False","0","False","","BPC-owned portfolio","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_round4_improved_baseline.json","results\optimization_update_round5\logs\ablation_v12_m2_average_round4_improved_baseline.stdout.txt"
"v12_m2_average","route_pool_incumbent_only","2","2","0","3","21","1.53E-05","True","0.759438494406","True","before_final_frontier_summary","BPC-owned portfolio","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_route_pool_incumbent_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_route_pool_incumbent_only.stdout.txt"
