"instance","variant","pickup_drop_pairs_total","pickup_drop_pairs_compatible","pickup_drop_pairs_incompatible","pickup_drop_compat_flow_variables","pickup_drop_compat_flow_constraints","lower_bound","upper_bound","gap","result_file","log_file"
"v12_m1_average","compat_flow_only","132","132","0","144","24","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_compat_flow_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_compat_flow_only.stdout.txt"
"v12_m1_average","focused_retry_only","0","0","0","0","0","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_focused_retry_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_focused_retry_only.stdout.txt"
"v12_m1_average","focused_route_pool","0","0","0","0","0","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_focused_route_pool.json","results\optimization_update_round5\logs\ablation_v12_m1_average_focused_route_pool.stdout.txt"
"v12_m1_average","improved_full","132","132","0","144","24","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_improved_full.json","results\optimization_update_round5\logs\ablation_v12_m1_average_improved_full.stdout.txt"
"v12_m1_average","improved_full_long","132","132","0","144","24","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_improved_full_long.json","results\optimization_update_round5\logs\ablation_v12_m1_average_improved_full_long.stdout.txt"
"v12_m1_average","round4_improved_baseline","0","0","0","0","0","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_round4_improved_baseline.json","results\optimization_update_round5\logs\ablation_v12_m1_average_round4_improved_baseline.stdout.txt"
"v12_m1_average","route_pool_incumbent_only","0","0","0","0","0","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_route_pool_incumbent_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_route_pool_incumbent_only.stdout.txt"
"v12_m2_average","compat_flow_only","264","264","0","288","48","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_compat_flow_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_compat_flow_only.stdout.txt"
"v12_m2_average","focused_retry_only","0","0","0","0","0","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_retry_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_focused_retry_only.stdout.txt"
"v12_m2_average","focused_route_pool","0","0","0","0","0","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_route_pool.json","results\optimization_update_round5\logs\ablation_v12_m2_average_focused_route_pool.stdout.txt"
"v12_m2_average","improved_full","264","264","0","288","48","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full.json","results\optimization_update_round5\logs\ablation_v12_m2_average_improved_full.stdout.txt"
"v12_m2_average","improved_full_long","264","264","0","288","48","0.5816772223","0.759438494406","0.234069346518","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full_long.json","results\optimization_update_round5\logs\ablation_v12_m2_average_improved_full_long.stdout.txt"
"v12_m2_average","round4_improved_baseline","0","0","0","0","0","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_round4_improved_baseline.json","results\optimization_update_round5\logs\ablation_v12_m2_average_round4_improved_baseline.stdout.txt"
"v12_m2_average","route_pool_incumbent_only","0","0","0","0","0","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_route_pool_incumbent_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_route_pool_incumbent_only.stdout.txt"
