"instance","variant","focused_retry_attempts","focused_retry_intervals","focused_retry_lb_before","focused_retry_lb_after","focused_retry_lb_improvements","focused_retry_seconds","focused_retry_stopped_reason","lower_bound","upper_bound","gap","result_file","log_file"
"v12_m1_average","compat_flow_only","0","0","","","0","0","disabled","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_compat_flow_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_compat_flow_only.stdout.txt"
"v12_m1_average","focused_retry_only","1","1","0.258804","0.258804","0","14.1823318","no_valid_lower_bound_progress","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_focused_retry_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_focused_retry_only.stdout.txt"
"v12_m1_average","focused_route_pool","1","1","0.258804","0.258804","0","14.194776","no_valid_lower_bound_progress","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_focused_route_pool.json","results\optimization_update_round5\logs\ablation_v12_m1_average_focused_route_pool.stdout.txt"
"v12_m1_average","improved_full","0","0","","","0","2.6E-06","time_limit_before_retry","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_improved_full.json","results\optimization_update_round5\logs\ablation_v12_m1_average_improved_full.stdout.txt"
"v12_m1_average","improved_full_long","1","1","0.258804","0.258804","0","13.9413371","no_valid_lower_bound_progress","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_improved_full_long.json","results\optimization_update_round5\logs\ablation_v12_m1_average_improved_full_long.stdout.txt"
"v12_m1_average","round4_improved_baseline","0","0","","","0","0","disabled","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_round4_improved_baseline.json","results\optimization_update_round5\logs\ablation_v12_m1_average_round4_improved_baseline.stdout.txt"
"v12_m1_average","route_pool_incumbent_only","0","0","","","0","0","disabled","0.25880423439","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_route_pool_incumbent_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_route_pool_incumbent_only.stdout.txt"
"v12_m2_average","compat_flow_only","0","0","","","0","0","disabled","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_compat_flow_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_compat_flow_only.stdout.txt"
"v12_m2_average","focused_retry_only","1","1","0.587614","0.587614","0","9.1806395","no_valid_lower_bound_progress","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_retry_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_focused_retry_only.stdout.txt"
"v12_m2_average","focused_route_pool","1","1","0.587614","0.587614","0","9.2033874","no_valid_lower_bound_progress","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_route_pool.json","results\optimization_update_round5\logs\ablation_v12_m2_average_focused_route_pool.stdout.txt"
"v12_m2_average","improved_full","1","1","0.587614","0.587614","0","9.1301911","no_valid_lower_bound_progress","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full.json","results\optimization_update_round5\logs\ablation_v12_m2_average_improved_full.stdout.txt"
"v12_m2_average","improved_full_long","1","1","0.581677","0.581677","0","18.4929717","no_valid_lower_bound_progress","0.5816772223","0.759438494406","0.234069346518","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full_long.json","results\optimization_update_round5\logs\ablation_v12_m2_average_improved_full_long.stdout.txt"
"v12_m2_average","round4_improved_baseline","0","0","","","0","0","disabled","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_round4_improved_baseline.json","results\optimization_update_round5\logs\ablation_v12_m2_average_round4_improved_baseline.stdout.txt"
"v12_m2_average","route_pool_incumbent_only","0","0","","","0","0","disabled","0.58761440809","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_route_pool_incumbent_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_route_pool_incumbent_only.stdout.txt"
