"instance","variant","interval_candidates_found","interval_candidates_verified","interval_candidates_accepted","best_interval_candidate_objective","best_interval_candidate_rejection_reason","objective","upper_bound","gap","result_file","log_file"
"v12_m1_average","compat_flow_only","0","0","0","0","","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_compat_flow_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_compat_flow_only.stdout.txt"
"v12_m1_average","focused_retry_only","1","1","0","0.382683045935","rejected_true_objective_not_improving","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_focused_retry_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_focused_retry_only.stdout.txt"
"v12_m1_average","focused_route_pool","1","1","0","0.382683045935","rejected_true_objective_not_improving","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_focused_route_pool.json","results\optimization_update_round5\logs\ablation_v12_m1_average_focused_route_pool.stdout.txt"
"v12_m1_average","improved_full","0","0","0","0","","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_improved_full.json","results\optimization_update_round5\logs\ablation_v12_m1_average_improved_full.stdout.txt"
"v12_m1_average","improved_full_long","1","1","0","0.382683045935","rejected_true_objective_not_improving","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_improved_full_long.json","results\optimization_update_round5\logs\ablation_v12_m1_average_improved_full_long.stdout.txt"
"v12_m1_average","round4_improved_baseline","1","1","0","0.382683045935","rejected_true_objective_not_improving","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_round4_improved_baseline.json","results\optimization_update_round5\logs\ablation_v12_m1_average_round4_improved_baseline.stdout.txt"
"v12_m1_average","route_pool_incumbent_only","1","1","0","0.382683045935","rejected_true_objective_not_improving","0.382683045935","0.382683045935","0.323711261476","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m1_average_route_pool_incumbent_only.json","results\optimization_update_round5\logs\ablation_v12_m1_average_route_pool_incumbent_only.stdout.txt"
"v12_m2_average","compat_flow_only","1","1","0","0.759438494406","rejected_true_objective_not_improving","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_compat_flow_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_compat_flow_only.stdout.txt"
"v12_m2_average","focused_retry_only","2","2","0","0.759438494406","rejected_true_objective_not_improving","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_retry_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_focused_retry_only.stdout.txt"
"v12_m2_average","focused_route_pool","2","2","0","0.759438494406","rejected_true_objective_not_improving","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_focused_route_pool.json","results\optimization_update_round5\logs\ablation_v12_m2_average_focused_route_pool.stdout.txt"
"v12_m2_average","improved_full","2","2","0","0.759438494406","rejected_true_objective_not_improving","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full.json","results\optimization_update_round5\logs\ablation_v12_m2_average_improved_full.stdout.txt"
"v12_m2_average","improved_full_long","2","2","0","0.759438494406","rejected_true_objective_not_improving","0.759438494406","0.759438494406","0.234069346518","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_improved_full_long.json","results\optimization_update_round5\logs\ablation_v12_m2_average_improved_full_long.stdout.txt"
"v12_m2_average","round4_improved_baseline","1","1","0","0.759438494406","rejected_true_objective_not_improving","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_round4_improved_baseline.json","results\optimization_update_round5\logs\ablation_v12_m2_average_round4_improved_baseline.stdout.txt"
"v12_m2_average","route_pool_incumbent_only","1","1","0","0.759438494406","rejected_true_objective_not_improving","0.759438494406","0.759438494406","0.226251483934","E:\codes\ExactEBRP\results\optimization_update_round5\raw\ablation_v12_m2_average_route_pool_incumbent_only.json","results\optimization_update_round5\logs\ablation_v12_m2_average_route_pool_incumbent_only.stdout.txt"
