file,instance_name,algorithm_preset,method,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,wall_time_seconds,time_budget_seconds,actual_runtime_seconds,gap_trajectory_available,progress_log,progress_checkpoints_written,compact_bc_progress_interval_seconds,unresolved_intervals,invalid_bound_intervals,open_nodes,compact_interval_bc_enabled,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_bound_valid,compact_bc_bound_scope,compact_bc_certificate_valid,compact_bc_enabled_families_requested,compact_bc_enabled_families_effective,compact_bc_total_cuts_added_by_family,compact_bc_total_domains_tightened_by_family,compact_bc_receiver_source_cover_mode,compact_bc_total_root_cut_rounds,compact_bc_dynamic_cut_families,compact_bc_root_probe,compact_bc_dynamic_cut_violation_tol,compact_bc_domain_propagation_mode,compact_bc_domain_propagation_rounds,compact_bc_domain_propagation_rounds_completed,compact_bc_expensive_static_families,compact_bc_use_dynamic_instead_of_static,compact_bc_dynamic_cuts_added_by_family,compact_bc_dynamic_max_violation_by_family,compact_bc_dynamic_cuts_added_total,compact_bc_model_size_policy,compact_bc_rows_estimated,compact_bc_cols_estimated,compact_bc_nonzeros_estimated,compact_bc_memory_estimate_mb,compact_bc_model_rows,compact_bc_model_cols,compact_bc_model_nonzeros,compact_bc_disabled_families_due_to_size,compact_bc_model_size_stop_reason,compact_bc_total_leaf_nodes,compact_bc_total_solver_time,cplex_threads,mip_threads,compact_bc_solver_threads,solver_thread_policy,thread_fairness_class,ablation_variant_semantics,certificate_uses_bpc_tree,no_archive_scanning,no_external_known_ub
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_compact_bc_300s.json,,,wrapper_error,wrapper_error,False,,0.0,0.0,1.0,82.99411487579346,,,82.99411487579346,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one_thread_fair,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_plain_cplex_300s.json,diag_V12_M1_low_gini_hard_seed7101.txt,custom,cplex,optimal,True,0.0280241198263,0.0280241198263,0.0280241198263,0,158.0153234,158.0153234,300,158.0153234,False,,0,0,0,0,0,False,0,0,False,none,False,,,,,off,0,,lp,1e-06,static,1,0,auto,False,,,0,full,0,0,0,0,0,0,0,,,0,0,1,1,0,plain_cplex_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_relaxation_only_300s.json,,,wrapper_error,wrapper_error,False,,0.0,0.0,1.0,82.72282695770264,,,82.72282695770264,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one_thread_fair,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.json,,,wrapper_error,wrapper_error,False,,0.0,0.0,1.0,134.12549376487732,,,134.12549376487732,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one_thread_fair,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_17.json,diag_V12_M2_tight_cutoff_hard_seed7102.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,1.65777317757,1.65777317757,0,0.6839035,0.6839035,300,0.6839035,False,,0,30,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=264;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=0;sp_product_estimator=0;gini_spread=66;required_movement=1;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=6;domain_width_before=411;domain_width_after=330,off,0,,lp,1e-06,static,1,1,auto,False,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,2788,770,22304,3.91645050049,10717,705,110195,none,,0,0.6839035,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_19.json,diag_V12_M2_tight_cutoff_hard_seed7102.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,1.65777317756,1.65777317757,0,0.7211248,0.7211248,300,0.7211248,False,,0,30,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=264;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=0;sp_product_estimator=0;gini_spread=66;required_movement=1;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=6;domain_width_before=411;domain_width_after=330,off,0,,lp,1e-06,static,1,1,auto,False,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,2788,770,22304,3.91645050049,10717,705,110195,none,,0,0.7211248,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_20.json,diag_V12_M2_tight_cutoff_hard_seed7102.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,1.65777317757,1.65777317757,0,0.5518216,0.5518216,300,0.5518216,False,,0,30,0,0,0,True,1,0,True,original_fixed_interval,False,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|penalty_lower_bound_closure,direct_gini_cap=1;direct_gini_floor=1;tight_mccormick=264;inventory_conservation=2;visit_inventory_linking=24;objective_estimator_cutoff=1;penalty_lb=1;variable_s_centering=1;s_range=0;sp_product_mccormick=0;sp_product_estimator=0;gini_spread=66;required_movement=1;global_handling_capacity=1;support_duration_pair=132;support_duration_triple=440;transfer_compat=24;receiver_source_cover=0;dynamic_root_total=0,penalty_domains=1;movement_reachability=6;domain_width_before=411;domain_width_after=330,off,0,,lp,1e-06,static,1,1,auto,False,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,support_duration=0;transfer_compat=0;visit_inventory_linking=0;objective_estimator=0;receiver_source_cover=0,0,full,2788,770,22304,3.91645050049,10717,705,110195,none,,0,0.5518216,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_plain_cplex_300s.json,diag_V12_M2_tight_cutoff_hard_seed7102.txt,custom,cplex,optimal,True,1.65777317757,1.65777317757,1.65777317757,0,32.3670161,32.3670161,300,32.3670161,False,,0,0,0,0,0,False,0,0,False,none,False,,,,,off,0,,lp,1e-06,static,1,0,auto,False,,,0,full,0,0,0,0,0,0,0,,,0,0,1,1,0,plain_cplex_single_thread,one_thread_fair,,False,True,True
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_relaxation_only_300s.json,,,wrapper_error,wrapper_error,False,,0.0,0.0,1.0,34.449848890304565,,,34.449848890304565,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one_thread_fair,,,,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_compact_bc_300s.json,diag_V16_M2_balanced_fractional_seed7103.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0,0,0,0,18.3341733,18.3341733,300,18.3341733,True,results\gf_compact_bc_lowgini_round\progress_traces\generated_diag_V16_M2_balanced_fractional_seed7103_compact_bc_300s.progress.csv,1,30,0,0,0,False,0,0,False,none,True,,,none,none,off,0,,lp,1e-06,static,1,0,auto,False,,,0,full,0,0,0,0,0,0,0,,,0,0,0,1,1,compact_bc_single_thread,one_thread_fair,,False,True,True
