leaf,variant,budget_seconds,root_lp_objective,root_bound_after_static_cuts,root_bound_after_dynamic_cuts,S_L,S_U,P_LB,objective_estimator_rows,direct_gini_cap_rows,low_gini_centering_rows,variable_s_rows,sp_product_rows,node_count,tailored_family_harm_hypothesis
low_gini_1,plain,60,not_exposed_by_cplex_json,0.044912876975,see dynamic root logs when root rounds > 0,2.9,30.3292135883,0,0,0,0,0,0,1968,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,plain,300,not_exposed_by_cplex_json,0.045502061979,see dynamic root logs when root rounds > 0,2.9,30.3292135883,0,0,0,0,0,0,4365,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,current_tailored,60,not_exposed_by_cplex_json,0.045181063121,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,0,2452,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,current_tailored,300,not_exposed_by_cplex_json,0.04752220582,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,0,11427,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,variable_s_centering,60,not_exposed_by_cplex_json,0.045181063121,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,0,2455,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,variable_s_centering,300,not_exposed_by_cplex_json,0.047551870972,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,0,11582,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,sp_product_estimator,60,not_exposed_by_cplex_json,0.044612735122,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,5,2492,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,sp_product_estimator,300,not_exposed_by_cplex_json,0.046187506074,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,5,7976,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,s_range_refinement,60,not_exposed_by_cplex_json,0,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,5,0,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,s_range_refinement,300,not_exposed_by_cplex_json,0,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,5,0,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,combined_safe,60,not_exposed_by_cplex_json,0.044612735122,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,5,2493,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,combined_safe,300,not_exposed_by_cplex_json,0.046196408037,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,5,8044,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,combined_safe,1200,not_exposed_by_cplex_json,0.048388162834,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,5,32329,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_1,combined_safe,3600,not_exposed_by_cplex_json,0.048723364,see dynamic root logs when root rounds > 0,3.24074074074,29.9501813302,0,1,1,41,1,5,122375,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,plain,60,not_exposed_by_cplex_json,0.048867537161,see dynamic root logs when root rounds > 0,4.47142857143,29.0784199375,0,0,0,0,0,0,3480,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,plain,300,not_exposed_by_cplex_json,0.048894652654,see dynamic root logs when root rounds > 0,4.47142857143,29.0784199375,0,0,0,0,0,0,15098,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,current_tailored,60,not_exposed_by_cplex_json,0.048773302847,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,0,1488,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,current_tailored,300,not_exposed_by_cplex_json,0.048868998462,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,0,5975,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,variable_s_centering,60,not_exposed_by_cplex_json,0.048773302847,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,0,1488,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,variable_s_centering,300,not_exposed_by_cplex_json,0.048868998462,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,0,5976,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,sp_product_estimator,60,not_exposed_by_cplex_json,0.048849691094,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,5,2629,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,sp_product_estimator,300,not_exposed_by_cplex_json,0.048920901548,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,5,7114,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,s_range_refinement,60,not_exposed_by_cplex_json,0,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,5,0,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,s_range_refinement,300,not_exposed_by_cplex_json,0,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,5,0,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,combined_safe,60,not_exposed_by_cplex_json,0.048849691094,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,5,2625,measured by comparing lower_bound/nodes against plain rows at same budget
low_gini_2,combined_safe,300,not_exposed_by_cplex_json,0.048920901548,see dynamic root logs when root rounds > 0,4.6455026455,28.7993876794,0,1,1,41,1,5,7108,measured by comparing lower_bound/nodes against plain rows at same budget
