instance,kind,budget_seconds,json_path,status,certified_original_problem,lower_bound,upper_bound,gap,compact_bc_closed_leaf_count,compact_bc_unresolved_leaf_count,thread_fairness_class,model_size_stop_reason,file,instance_name,method,objective,runtime_seconds,time_budget_seconds,actual_runtime_seconds,nodes,cplex_threads,mip_threads,solver_thread_policy,verifier_passed,source_table
diag_V12_M1_low_gini_hard_seed7101,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_plain_cplex_300s.json,optimal,True,0.0280241198263,0.0280241198263,0,0,0,one_thread_fair,,,,,,,,,,,,,,
diag_V12_M2_tight_cutoff_hard_seed7102,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_plain_cplex_300s.json,optimal,True,1.65777317757,1.65777317757,0,0,0,one_thread_fair,,,,,,,,,,,,,,
diag_V16_M2_balanced_fractional_seed7103,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_plain_cplex_300s.json,optimal,True,0,0,0,0,0,one_thread_fair,,,,,,,,,,,,,,
diag_V20_M2_high_transfer_seed7104,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M2_high_transfer_seed7104_plain_cplex_300s.json,not_certified,False,0.4022112442,0.587729784017,0.315652779325,0,0,one_thread_fair,,,,,,,,,,,,,,
diag_V20_M3_dense_duration_seed7105,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M3_dense_duration_seed7105_plain_cplex_300s.json,not_certified,False,0.015588525392,0.168756292672,0.907626997813,0,0,one_thread_fair,,,,,,,,,,,,,,
,,,,not_certified,,2.0475894187,2.44369311412,0.162092241915,,,one_thread_fair,,results\gf_compact_bc_effectiveness_round2\raw\cplex_high_imbalance_seed3201_1200s.json,high_imbalance_seed3201.txt,cplex,2.44369311412,1200.1122243,1200,1200.1122243,37039,1,1,plain_cplex_single_thread,True,results\gf_compact_bc_effectiveness_round3\full_instance_cplex_comparison.csv
,,,,not_certified,,1.9775993942,2.55478672027,0.225923879082,,,one_thread_fair,,results\gf_compact_bc_effectiveness_round2\raw\cplex_high_imbalance_seed3201_300s.json,high_imbalance_seed3201.txt,cplex,2.55478672027,300.1054999,300,300.1054999,12753,1,1,plain_cplex_single_thread,True,results\gf_compact_bc_effectiveness_round3\full_instance_cplex_comparison.csv
,,,,not_certified,,1.0653727442,3.03088519537,0.648494523703,,,one_thread_fair,,results\gf_compact_bc_effectiveness_round2\raw\cplex_high_imbalance_seed3202_300s.json,high_imbalance_seed3202.txt,cplex,3.03088519537,300.1035332,300,300.1035332,4585,1,1,plain_cplex_single_thread,True,results\gf_compact_bc_effectiveness_round3\full_instance_cplex_comparison.csv
,,,,not_certified,,0.040849762435,0.0496566123632,0.17735502905,,,one_thread_fair,,results\gf_compact_bc_effectiveness_round2\raw\cplex_moderate_seed3301_1200s.json,moderate_seed3301.txt,cplex,0.0496566123632,1206.6191768,1200,1206.6191768,121802,1,1,plain_cplex_single_thread,True,results\gf_compact_bc_effectiveness_round3\full_instance_cplex_comparison.csv
,,,,not_certified,,0.037866383531,0.0727327782328,0.479376638002,,,one_thread_fair,,results\gf_compact_bc_effectiveness_round2\raw\cplex_moderate_seed3301_300s.json,moderate_seed3301.txt,cplex,0.0727327782328,300.2176213,300,300.2176213,27029,1,1,plain_cplex_single_thread,True,results\gf_compact_bc_effectiveness_round3\full_instance_cplex_comparison.csv
,,,,not_certified,,0.1144912295,0.213397988698,0.463484964416,,,one_thread_fair,,results\gf_compact_bc_effectiveness_round2\raw\cplex_moderate_seed3302_300s.json,moderate_seed3302.txt,cplex,0.213397988698,300.1051403,300,300.1051403,21311,1,1,plain_cplex_single_thread,True,results\gf_compact_bc_effectiveness_round3\full_instance_cplex_comparison.csv
,,,,not_certified,,0.015915009814,0.134365820425,0.881554626291,,,one_thread_fair,,results\gf_compact_bc_effectiveness_round2\raw\cplex_tight_T_seed3101_300s.json,tight_T_seed3101.txt,cplex,0.134365820425,300.1022631,300,300.1022631,25785,1,1,plain_cplex_single_thread,True,results\gf_compact_bc_effectiveness_round3\full_instance_cplex_comparison.csv
,,,,not_certified,,0.46597690239,0.615378628222,0.242780166519,,,one_thread_fair,,results\gf_compact_bc_effectiveness_round2\raw\cplex_tight_T_seed3102_300s.json,tight_T_seed3102.txt,cplex,0.615378628222,300.1087393,300,300.1087393,39235,1,1,plain_cplex_single_thread,True,results\gf_compact_bc_effectiveness_round3\full_instance_cplex_comparison.csv
