instance,kind,budget_seconds,json_path,status,certified_original_problem,lower_bound,upper_bound,gap,compact_bc_closed_leaf_count,compact_bc_unresolved_leaf_count,thread_fairness_class,model_size_stop_reason
diag_V12_M1_low_gini_hard_seed7101,compact_bc,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_compact_bc_300s.json,wrapper_error,False,0.0,0.0,1.0,,,one_thread_fair,
diag_V12_M1_low_gini_hard_seed7101,relaxation_only,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_relaxation_only_300s.json,wrapper_error,False,0.0,0.0,1.0,,,one_thread_fair,
diag_V12_M1_low_gini_hard_seed7101,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_plain_cplex_300s.json,optimal,True,0.0280241198263,0.0280241198263,0,0,0,one_thread_fair,
diag_V12_M2_tight_cutoff_hard_seed7102,compact_bc,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.json,wrapper_error,False,0.0,0.0,1.0,,,one_thread_fair,
diag_V12_M2_tight_cutoff_hard_seed7102,relaxation_only,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_relaxation_only_300s.json,wrapper_error,False,0.0,0.0,1.0,,,one_thread_fair,
diag_V12_M2_tight_cutoff_hard_seed7102,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_plain_cplex_300s.json,optimal,True,1.65777317757,1.65777317757,0,0,0,one_thread_fair,
diag_V16_M2_balanced_fractional_seed7103,compact_bc,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_compact_bc_300s.json,optimal,True,0,0,0,0,0,one_thread_fair,
diag_V16_M2_balanced_fractional_seed7103,relaxation_only,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_relaxation_only_300s.json,optimal,True,0,0,0,0,0,one_thread_fair,
diag_V16_M2_balanced_fractional_seed7103,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_plain_cplex_300s.json,optimal,True,0,0,0,0,0,one_thread_fair,
diag_V20_M2_high_transfer_seed7104,compact_bc,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M2_high_transfer_seed7104_compact_bc_300s.json,wrapper_timeout,False,0.0,0.0,1.0,,,one_thread_fair,
diag_V20_M2_high_transfer_seed7104,relaxation_only,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M2_high_transfer_seed7104_relaxation_only_300s.json,wrapper_timeout,False,0.0,0.0,1.0,,,one_thread_fair,
diag_V20_M2_high_transfer_seed7104,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M2_high_transfer_seed7104_plain_cplex_300s.json,not_certified,False,0.4022112442,0.587729784017,0.315652779325,0,0,one_thread_fair,
diag_V20_M3_dense_duration_seed7105,compact_bc,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M3_dense_duration_seed7105_compact_bc_300s.json,wrapper_timeout,False,0.0,0.0,1.0,,,one_thread_fair,
diag_V20_M3_dense_duration_seed7105,relaxation_only,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M3_dense_duration_seed7105_relaxation_only_300s.json,wrapper_timeout,False,0.0,0.0,1.0,,,one_thread_fair,
diag_V20_M3_dense_duration_seed7105,plain_cplex,300,results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M3_dense_duration_seed7105_plain_cplex_300s.json,not_certified,False,0.015588525392,0.168756292672,0.907626997813,0,0,one_thread_fair,
