run_id,instance,arm,flow_variant,checkpoint_seconds,status,observation_elapsed_seconds,lower_bound,upper_bound,gap,nodes,open_nodes,simplex_iterations,event_source,observation_source,not_observed_reason
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,30,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,60,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,120,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,300,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,600,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,900,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,1200,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,1800,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,2400,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,3000,observed,5.0084275,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage4__moderate_seed3301__f3__3600s,moderate_seed3301,F3,normalized-start-coupled,3600,observed,3571.0592764,0.047358383204777726,0.04915255266474515,0.0017941694599674235,19167,7185,2815883,solver_final,full_precision_final_json,
