number,id,arm,decisions,tau,K0
18,full_micro,off,2,0.08,1
19,full_micro,joint,2,0.08,1
20,warm_micro,warm-joint,0,0.08,1
21,C2,warm-off,2,0.08,1
22,C2,warm-q,2,0.08,1
23,C2,warm-sep,1,0.08,1
24,C2,warm-joint,2,0.08,1
25,D7,warm-off,1,0.08,1
26,D7,warm-q,1,0.08,1
27,D7,warm-sep,1,0.08,1
28,D7,warm-joint,1,0.08,1
33,D3,warm-off,2,0.08,1
34,D3,warm-joint,2,0.08,1
35,D4,warm-off,1,0.08,1
36,D4,warm-joint,2,0.08,1
37,C3,warm-off,1,0.08,1
38,C3,warm-joint,2,0.08,1
39,C5,warm-off,0,0.08,1
40,C5,warm-joint,0,0.08,1
41,C5,cold-off,1,0.08,1
42,C5,cold-joint,1,0.08,1
43,D7,cold-off,1,0.08,1
44,D7,cold-joint,1,0.08,1
45,D4,warm-sep,1,0.08,1
46,C3,warm-sep,2,0.08,1
48,C2,K1-H,2,0.08,1
50,D7,K1-H,1,0.08,1
51,C6,warm-off,2,0.08,1
52,C6,warm-joint,0,0.08,1
54,C6,K1-H,2,0.08,1
55,C6,cold-off,2,0.08,1
56,C6,cold-joint,2,0.08,1
57,C7,warm-off,0,0.08,1
58,C7,warm-joint,0,0.08,1
60,C7,K1-H,0,0.08,1
61,C7,cold-off,1,0.08,1
62,C7,cold-joint,1,0.08,1
