number,id,arm,applicable,valid
6,D4,off,True,True
7,D4,q,True,True
8,D4,t,True,True
9,D4,sep,True,True
10,D4,joint,True,True
11,D7,off,True,True
12,D7,q,True,True
13,D7,t,True,True
14,D7,sep,True,True
15,D7,joint,True,True
18,full_micro,off,True,True
19,full_micro,joint,True,True
20,warm_micro,warm-joint,True,True
21,C2,warm-off,True,True
22,C2,warm-q,True,True
23,C2,warm-sep,True,True
24,C2,warm-joint,True,True
25,D7,warm-off,True,True
26,D7,warm-q,True,True
27,D7,warm-sep,True,True
28,D7,warm-joint,True,True
31,D4,q,True,True
32,D4,qcap,True,True
33,D3,warm-off,True,True
34,D3,warm-joint,True,True
35,D4,warm-off,True,True
36,D4,warm-joint,True,True
37,C3,warm-off,True,True
38,C3,warm-joint,True,True
39,C5,warm-off,False,
40,C5,warm-joint,False,
41,C5,cold-off,True,True
42,C5,cold-joint,True,True
43,D7,cold-off,True,True
44,D7,cold-joint,True,True
