id,off_unchanged,qcap_model_sha256,projected_capacity_rows,no_time_columns,identical_to_Q
C2,True,265f66d6f4531b800ca21d366903581dd6fe4664ae0ce4940bc779165b68bbac,800,True,False
D4,True,51f6467dff2dcb3f88c644cf5f42f7fcf25231932ae5b5f725e401ede9aba65f,432,True,False
D7,True,5a7d3ef752ac5b51a1a894b1287541b085391b3d2344264565137f026935d851,0,True,True
