id,model_sha256,existing_JOINT_model_unchanged,construction_executable_build,performance_qualification_build,optimizer_calls
D4,e5c4d0f3b4c0a1e76ce627564f35a63caafb968b7a5a66f29285b816d5dacda1,True,v4,v3,0
D7,da8ebcf04f95bf217f0d9ea67f33b52ac4571677d2a4cde1d95ced63a352ff2c,True,v4,v3,0
