id,stage,query,arm,status,optimal,infeasible,objective,work,solver_seconds,rows,columns,nonzeros,valid,seconds
resource_micro,micro_v1,1,off,OPTIMAL,1,0,0,1.1969850000000004e-05,0.0049998760223388672,1,12,2,1,0.082352400000000006
resource_micro,micro_v1,2,q,OPTIMAL,1,0,0,1.620716e-05,0.0010001659393310547,9,16,26,1,0.094030299999999997
resource_micro,micro_v1,3,t,OPTIMAL,1,0,0,1.5413239999999999e-05,0,7,16,19,1,0.1048781
resource_micro,micro_v1,4,sep,OPTIMAL,1,0,0,2.2048253333333338e-05,0.00099992752075195312,17,20,49,1,0.1210474
resource_micro,micro_v1,5,joint,INFEASIBLE,0,1,0,1.4138000000000001e-05,0.0010001659393310547,21,20,57,1,0.13269
resource_micro,micro_v1,6,pinned_sep,OPTIMAL,1,0,0,2.5631350476190474e-05,0,29,20,49,1,0.1394658
resource_micro,micro_v1,7,pinned_joint,INFEASIBLE,0,1,0,1.4905999999999999e-05,0.00099992752075195312,33,20,57,1,0.14606179999999999
C2,qcap_strength_v4,1,off,OPTIMAL,1,0,0.53016023239154275,0.3015452305938498,0.1099998950958252,8663,2402,48314,1,0.15370320000000001
C2,qcap_strength_v4,2,q,OPTIMAL,1,0,0.55076138505661809,0.731543955764413,0.25899982452392578,9543,3202,52394,1,0.46492869999999997
C2,qcap_strength_v4,3,qcap,OPTIMAL,1,0,0.59443678496331087,0.87270672562639773,0.37700009346008301,10343,3202,53994,1,0.8962793
C2,qcap_strength_v4,4,sep,OPTIMAL,1,0,0.60314648754830136,0.98860549857394853,0.37999987602233887,10423,4002,57234,1,1.3423187000000001
C2,qcap_strength_v4,5,pinned_q,OPTIMAL,1,0,0.55076138505661809,0.0071245264053128509,0.006999969482421875,11945,3202,52394,1,1.3903542
C2,qcap_strength_v4,6,pinned_qcap,INFEASIBLE,0,1,0,0.003478119,0.0030000209808349609,12745,3202,53994,1,1.4299803
C2,qcap_strength_v4,7,pinned_sep_q,OPTIMAL,1,0,0.60314648754830136,0.0075440744040036331,0.0060000419616699219,11945,3202,52394,1,1.4706079999999999
C2,qcap_strength_v4,8,pinned_sep_qcap,INFEASIBLE,0,1,0,0.0035688370000000001,0.0019998550415039062,12745,3202,53994,1,1.5085474000000001
D4,qcap_strength_v4,1,off,OPTIMAL,1,0,0.093948255393593263,0.11451701307472226,0.046999931335449219,4136,1404,19373,1,0.077580800000000005
D4,qcap_strength_v4,2,q,OPTIMAL,1,0,0.093969105660899596,0.27746309515201917,0.10600018501281738,4640,1836,21605,1,0.21410709999999999
