number,id,arm,stage,cap,executable_sha256,initial_U,verified_empty_routes,route_snapshot_sha256,initial_domain_sha256,native_start_enabled
41,C5,cold-off,cold_long_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,1.9325586689145928,True,c0f954c3a26e027623f2e06b6beada250e5580539890227bf6f4db4f9f55cff0,15ecf77bc117d442c139308b61b824a80d01e1ce310e0362f9e30adbfd4e7441,False
42,C5,cold-joint,cold_long_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,1.9325586689145928,True,c0f954c3a26e027623f2e06b6beada250e5580539890227bf6f4db4f9f55cff0,15ecf77bc117d442c139308b61b824a80d01e1ce310e0362f9e30adbfd4e7441,False
43,D7,cold-off,cold_long_v3,1200,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,1.5423858798368388,True,2bad4a05037be610094a84fec9ce963b3162739c6dda8b5a55d0271e451e7039,1e79f282aa914d050cd2eec7524f781b41d8242932f4c9d51ff851b9d69edb14,False
44,D7,cold-joint,cold_long_v3,1200,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,1.5423858798368388,True,2bad4a05037be610094a84fec9ce963b3162739c6dda8b5a55d0271e451e7039,1e79f282aa914d050cd2eec7524f781b41d8242932f4c9d51ff851b9d69edb14,False
55,C6,cold-off,confirmation_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,1.9864507064376138,True,7963557b38b7a5d3ac26b267876ce36c3f708bf1e998af2d9b41f8397059a639,054bc20e648935904f7504d28b4ac6a112084d26ce60b9478fd094fabaff75a0,False
56,C6,cold-joint,confirmation_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,1.9864507064376138,True,7963557b38b7a5d3ac26b267876ce36c3f708bf1e998af2d9b41f8397059a639,054bc20e648935904f7504d28b4ac6a112084d26ce60b9478fd094fabaff75a0,False
