id,stage,scope,baseline,candidate,baseline_number,candidate_number,cap,baseline_certified,candidate_certified,baseline_wall,candidate_wall,baseline_UB,candidate_UB,baseline_LB,candidate_LB,baseline_absolute_gap,candidate_absolute_gap,baseline_relative_gap,candidate_relative_gap,baseline_Work,candidate_Work,exe_sha256,certification_seconds_saved,certification_fraction_saved,decision,absolute_gap_saved,gap_fraction_saved
D4,screen_v1,fixed_F0_improving_domain,off,q,6,7,120,True,True,89.68800000008196,91.625,0.506343307565206,0.506343307565206,0.5063433072459947,0.5063433075652057,3.1921121301792255e-10,2.220446049250313e-16,6.304244733733646e-10,4.3852580177814796e-16,140.87267731766892,147.9973865212372,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,-1.9369999999180436,-0.021597092140713068,below_time_threshold,,
D4,screen_v1,fixed_F0_improving_domain,off,t,6,8,120,True,False,89.68800000008196,118.0789999999106,0.506343307565206,0.506343307565206,0.5063433072459947,0.4833956429835703,3.1921121301792255e-10,0.022947664581635663,6.304244733733646e-10,0.04532036710820061,140.87267731766892,181.33422537309193,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,certificate_loss,,
D4,screen_v1,fixed_F0_improving_domain,off,sep,6,9,120,True,True,89.68800000008196,90.67199999978766,0.506343307565206,0.506343307565206,0.5063433072459947,0.5063433019000385,3.1921121301792255e-10,5.665167446267105e-09,6.304244733733646e-10,1.1188392068433836e-08,140.87267731766892,144.38138471814432,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,-0.9839999997057021,-0.010971367403719593,below_time_threshold,,
D4,screen_v1,fixed_F0_improving_domain,off,joint,6,10,120,True,False,89.68800000008196,118.09299999987707,0.506343307565206,0.506343307565206,0.5063433072459947,0.4824212454213993,3.1921121301792255e-10,0.023922062143806655,6.304244733733646e-10,0.04724474834838419,140.87267731766892,195.64086886442635,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,certificate_loss,,
D4,screen_v1,fixed_F0_improving_domain,q,sep,7,9,120,True,True,91.625,90.67199999978766,0.506343307565206,0.506343307565206,0.5063433075652057,0.5063433019000385,2.220446049250313e-16,5.665167446267105e-09,4.3852580177814796e-16,1.1188392068433836e-08,147.9973865212372,144.38138471814432,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,0.9530000002123415,0.010401091407501681,below_time_threshold,,
D4,screen_v1,fixed_F0_improving_domain,t,sep,8,9,120,False,True,118.0789999999106,90.67199999978766,0.506343307565206,0.506343307565206,0.4833956429835703,0.5063433019000385,0.022947664581635663,5.665167446267105e-09,0.04532036710820061,1.1188392068433836e-08,181.33422537309193,144.38138471814432,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,certificate_gain,,
D4,screen_v1,fixed_F0_improving_domain,sep,joint,9,10,120,True,False,90.67199999978766,118.09299999987707,0.506343307565206,0.506343307565206,0.5063433019000385,0.4824212454213993,5.665167446267105e-09,0.023922062143806655,1.1188392068433836e-08,0.04724474834838419,144.38138471814432,195.64086886442635,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,certificate_loss,,
D7,screen_v1,fixed_F0_improving_domain,off,q,11,12,120,False,False,118.43800000008196,118.48400000017136,0.6712367708118434,0.2844864934664264,0.1950760955582813,0.19592290377693042,0.4761606752535621,0.08856358968949599,0.7093781150839787,0.31131034943122105,286.6039160490719,265.8621757236898,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,gap_gain,0.38759708556406613,0.8140048217078518
D7,screen_v1,fixed_F0_improving_domain,off,t,11,13,120,False,False,118.43800000008196,118.48400000017136,0.6712367708118434,0.3650270765535112,0.1950760955582813,0.19550134131574382,0.4761606752535621,0.16952573523776737,0.7093781150839787,0.46441961741135585,286.6039160490719,269.15052109641084,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,gap_gain,0.3066349400157947,0.643973675172792
D7,screen_v1,fixed_F0_improving_domain,off,sep,11,14,120,False,False,118.43800000008196,118.53099999995902,0.6712367708118434,0.4090077565916699,0.1950760955582813,0.19241094211262166,0.4761606752535621,0.21659681447904822,0.7093781150839787,0.529566520410238,286.6039160490719,260.0390126703232,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,gap_gain,0.2595638607745139,0.5451182221973551
D7,screen_v1,fixed_F0_improving_domain,off,joint,11,15,120,False,False,118.43800000008196,118.54699999978766,0.6712367708118434,0.34553231028141274,0.1950760955582813,0.19241094211262189,0.4761606752535621,0.15312136816879085,0.7093781150839787,0.4431463096579415,286.6039160490719,255.47588342226052,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,gap_gain,0.32303930708477124,0.6784250020494623
D7,screen_v1,fixed_F0_improving_domain,q,sep,12,14,120,False,False,118.48400000017136,118.53099999995902,0.2844864934664264,0.4090077565916699,0.19592290377693042,0.19241094211262166,0.08856358968949599,0.21659681447904822,0.31131034943122105,0.529566520410238,265.8621757236898,260.0390126703232,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,gap_loss,-0.12803322478955223,-1.4456643552777932
D7,screen_v1,fixed_F0_improving_domain,t,sep,13,14,120,False,False,118.48400000017136,118.53099999995902,0.3650270765535112,0.4090077565916699,0.19550134131574382,0.19241094211262166,0.16952573523776737,0.21659681447904822,0.46441961741135585,0.529566520410238,269.15052109641084,260.0390126703232,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,gap_loss,-0.047071079241280844,-0.2776633245404396
D7,screen_v1,fixed_F0_improving_domain,sep,joint,14,15,120,False,False,118.53099999995902,118.54699999978766,0.4090077565916699,0.34553231028141274,0.19241094211262166,0.19241094211262189,0.21659681447904822,0.15312136816879085,0.529566520410238,0.4431463096579415,260.0390126703232,255.47588342226052,993b2010b40b40a6a77b692f155fdd42e24f3ddbf75982f019e8d1ad9d869775,,,gap_gain,0.06347544631025737,0.2930580787299504
