number,id,arm,stage,source,sha256,raw_observations,consecutive_semantic_states,rule
18,full_micro,off,full_micro_v2,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\off\external\global_bound_trace.csv,db11ff2da2a25f5ff3a914c888a594de705b5b281edf63df39a1d09aa69fc3eb,11,11,all non-time fields exact; preserve first/last times and count of every consecutive state
19,full_micro,joint,full_micro_v2,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\joint\external\global_bound_trace.csv,2ca7f8e5e29d7449b0d28a15fdf6657e92e00ddfd4e98d2e4e98ee1cb8615830,11,11,all non-time fields exact; preserve first/last times and count of every consecutive state
20,warm_micro,warm-joint,warm_micro_v3,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\global_bound_trace.csv,827a276c50b6c944eb79247ddb2151f5b8e9a07970f3861f45053d9566ff1648,28,28,all non-time fields exact; preserve first/last times and count of every consecutive state
21,C2,warm-off,warm_dev_v3,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-off\external\global_bound_trace.csv,a8db4b312ab40a0b217cab192758902f56df11ad0a512bf65de519f869c211d7,9761,9761,all non-time fields exact; preserve first/last times and count of every consecutive state
22,C2,warm-q,warm_dev_v3,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-q\external\global_bound_trace.csv,f1bf724fb366d1fb1875e0095d179cdc67142df62d6b0ea13ed2a57b64bff9e6,7980,7980,all non-time fields exact; preserve first/last times and count of every consecutive state
23,C2,warm-sep,warm_dev_v3,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\global_bound_trace.csv,c0439d8d2664d97e82e376e7917c4e380d3c03c317df490277f75b31c61ae17f,2134,2134,all non-time fields exact; preserve first/last times and count of every consecutive state
24,C2,warm-joint,warm_dev_v3,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\global_bound_trace.csv,00693586aff65a723fc69664c8f6d4407879245d1f4f511806e700e6b997ba7f,1724,1724,all non-time fields exact; preserve first/last times and count of every consecutive state
25,D7,warm-off,warm_dev_v3,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-off\external\global_bound_trace.csv,12b43ce9d1301c3cda4e825b4a5100ee7d16badd3dac73c3b671874450fa0dc4,51,51,all non-time fields exact; preserve first/last times and count of every consecutive state
26,D7,warm-q,warm_dev_v3,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-q\external\global_bound_trace.csv,9b1daa210de6607006c3af45fe24dcfc15002fa522ca2e3acbf4e8f993e45c05,28,28,all non-time fields exact; preserve first/last times and count of every consecutive state
27,D7,warm-sep,warm_dev_v3,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-sep\external\global_bound_trace.csv,9ac8aabcfae85a1913beaa3565070dab06859409c7f174a76ed19e58cecc9a4c,26,26,all non-time fields exact; preserve first/last times and count of every consecutive state
28,D7,warm-joint,warm_dev_v3,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-joint\external\global_bound_trace.csv,ca0b88f6ec8e2bf4d7e38a3ff64b59df7cfdf99fc6e3d321b359622fa1435218,28,28,all non-time fields exact; preserve first/last times and count of every consecutive state
33,D3,warm-off,warm_protection_v3,results\gf_shared_load_time_round64\local_raw\warm_protection_v3\D3\warm-off\external\global_bound_trace.csv,55d98952b0ee69205c55b6eaec7d4046e47f9759895bbf33f6f3db340fde7661,1558,1558,all non-time fields exact; preserve first/last times and count of every consecutive state
34,D3,warm-joint,warm_protection_v3,results\gf_shared_load_time_round64\local_raw\warm_protection_v3\D3\warm-joint\external\global_bound_trace.csv,3faf7736c1e891b854ae3be3bde599f3b8aade321ff31c308dd50f9a4759fe45,1269,1269,all non-time fields exact; preserve first/last times and count of every consecutive state
35,D4,warm-off,warm_protection_v3,results\gf_shared_load_time_round64\local_raw\warm_protection_v3\D4\warm-off\external\global_bound_trace.csv,2a77bf353db2ba9941fbe37ca5d5a7bbacdfa1dd92fa8a7a8c3454b79bf4b414,4398,4398,all non-time fields exact; preserve first/last times and count of every consecutive state
36,D4,warm-joint,warm_protection_v3,results\gf_shared_load_time_round64\local_raw\warm_protection_v3\D4\warm-joint\external\global_bound_trace.csv,70195ed38dfe8be419b292f5a49b2c5b55427055e4949014caa34986a623d0c4,1574,1574,all non-time fields exact; preserve first/last times and count of every consecutive state
37,C3,warm-off,warm_protection_v3,results\gf_shared_load_time_round64\local_raw\warm_protection_v3\C3\warm-off\external\global_bound_trace.csv,209522b6b15f44f3a46537d2ccdc6775eae4a27c5643885606f0eaef38199b95,114,114,all non-time fields exact; preserve first/last times and count of every consecutive state
