number,charged,id,arm,stage,optimizer_calls,backend_attempts,build_freeze
,False,D3,off,preflight,0,0,
,False,D3,q,preflight,0,0,
,False,D3,off,preflight_v1,0,0,
,False,D3,q,preflight_v1,0,0,
,False,D3,t,preflight_v1,0,0,
,False,D3,sep,preflight_v1,0,0,
,False,D3,joint,preflight_v1,0,0,
,False,D4,off,preflight_v1,0,0,
,False,D4,q,preflight_v1,0,0,
,False,D4,t,preflight_v1,0,0,
,False,D4,sep,preflight_v1,0,0,
,False,D4,joint,preflight_v1,0,0,
,False,D6,off,preflight_v1,0,0,
,False,D6,q,preflight_v1,0,0,
,False,D6,t,preflight_v1,0,0,
,False,D6,sep,preflight_v1,0,0,
,False,D6,joint,preflight_v1,0,0,
,False,D7,off,preflight_v1,0,0,
,False,D7,q,preflight_v1,0,0,
,False,D7,t,preflight_v1,0,0,
,False,D7,sep,preflight_v1,0,0,
,False,D7,joint,preflight_v1,0,0,
,False,C2,off,preflight_v1,0,0,
,False,C2,q,preflight_v1,0,0,
,False,C2,t,preflight_v1,0,0,
,False,C2,sep,preflight_v1,0,0,
,False,C2,joint,preflight_v1,0,0,
,False,C3,off,preflight_v1,0,0,
,False,C3,q,preflight_v1,0,0,
,False,C3,t,preflight_v1,0,0,
,False,C3,sep,preflight_v1,0,0,
,False,C3,joint,preflight_v1,0,0,
,False,C5,off,preflight_v1,0,0,
,False,C5,q,preflight_v1,0,0,
,False,C5,t,preflight_v1,0,0,
,False,C5,sep,preflight_v1,0,0,
,False,C5,joint,preflight_v1,0,0,
1,True,resource_micro,five-LP-and-pinned-controls,micro_v1,7,7,build_freeze_v1.json
2,True,D3,five-LP-and-pinned-controls,strength_v1,7,7,build_freeze_v1.json
3,True,D4,five-LP-and-pinned-controls,strength_v1,7,7,build_freeze_v1.json
4,True,D6,five-LP-and-pinned-controls,strength_v1,7,7,build_freeze_v1.json
5,True,D7,five-LP-and-pinned-controls,strength_v1,7,7,build_freeze_v1.json
6,True,D4,off,screen_v1,1,1,build_freeze_v1.json
7,True,D4,q,screen_v1,1,1,build_freeze_v1.json
8,True,D4,t,screen_v1,1,1,build_freeze_v1.json
9,True,D4,sep,screen_v1,1,1,build_freeze_v1.json
10,True,D4,joint,screen_v1,1,1,build_freeze_v1.json
11,True,D7,off,screen_v1,1,1,build_freeze_v1.json
12,True,D7,q,screen_v1,1,1,build_freeze_v1.json
13,True,D7,t,screen_v1,1,1,build_freeze_v1.json
14,True,D7,sep,screen_v1,1,1,build_freeze_v1.json
15,True,D7,joint,screen_v1,1,1,build_freeze_v1.json
16,True,D4,SEP-JOINT-Farkas,projection_v2,2,2,build_freeze_v2.json
17,True,D7,SEP-JOINT-Farkas,projection_v2,2,2,build_freeze_v2.json
18,True,full_micro,off,full_micro_v2,5,5,build_freeze_v2.json
19,True,full_micro,joint,full_micro_v2,5,5,build_freeze_v2.json
20,True,warm_micro,warm-joint,warm_micro_v3,18,18,build_freeze_v3.json
21,True,C2,warm-off,warm_dev_v3,7,7,build_freeze_v3.json
22,True,C2,warm-q,warm_dev_v3,7,7,build_freeze_v3.json
23,True,C2,warm-sep,warm_dev_v3,8,8,build_freeze_v3.json
24,True,C2,warm-joint,warm_dev_v3,11,11,build_freeze_v3.json
25,True,D7,warm-off,warm_dev_v3,6,6,build_freeze_v3.json
26,True,D7,warm-q,warm_dev_v3,6,6,build_freeze_v3.json
27,True,D7,warm-sep,warm_dev_v3,6,6,build_freeze_v3.json
28,True,D7,warm-joint,warm_dev_v3,6,6,build_freeze_v3.json
,False,D4,off,preflight_qcap_v4,0,0,
,False,D4,q,preflight_qcap_v4,0,0,
,False,D4,qcap,preflight_qcap_v4,0,0,
,False,C2,off,preflight_qcap_v4,0,0,
,False,C2,q,preflight_qcap_v4,0,0,
,False,C2,qcap,preflight_qcap_v4,0,0,
,False,D7,off,preflight_qcap_v4,0,0,
,False,D7,q,preflight_qcap_v4,0,0,
,False,D7,qcap,preflight_qcap_v4,0,0,
29,True,D4,OFF-Q-QCAP-SEP-and-two-point-controls,qcap_strength_v4,8,8,build_freeze_v4.json
30,True,C2,OFF-Q-QCAP-SEP-and-two-point-controls,qcap_strength_v4,8,8,build_freeze_v4.json
31,True,D4,q,qcap_screen_v4,1,1,build_freeze_v4.json
32,True,D4,qcap,qcap_screen_v4,1,1,build_freeze_v4.json
33,True,D3,warm-off,warm_protection_v3,5,5,build_freeze_v3.json
34,True,D3,warm-joint,warm_protection_v3,5,5,build_freeze_v3.json
35,True,D4,warm-off,warm_protection_v3,4,4,build_freeze_v3.json
36,True,D4,warm-joint,warm_protection_v3,9,9,build_freeze_v3.json
37,True,C3,warm-off,warm_protection_v3,4,4,build_freeze_v3.json
38,True,C3,warm-joint,warm_protection_v3,7,7,build_freeze_v3.json
39,True,C5,warm-off,warm_protection_v3,0,0,build_freeze_v3.json
40,True,C5,warm-joint,warm_protection_v3,0,0,build_freeze_v3.json
,False,D4,joint,joint_identity_v4,0,0,
,False,D7,joint,joint_identity_v4,0,0,
41,True,C5,cold-off,cold_long_v3,4,4,build_freeze_v3.json
42,True,C5,cold-joint,cold_long_v3,4,4,build_freeze_v3.json
43,True,D7,cold-off,cold_long_v3,4,4,build_freeze_v3.json
44,True,D7,cold-joint,cold_long_v3,4,4,build_freeze_v3.json
45,True,D4,warm-sep,warm_protection_v3,4,4,build_freeze_v3.json
