baseline,candidate,id,identical_startup_hash_U_domain,identical_route_snapshot,native_starts_both_disabled,first_F0_identical_to_stable_reference
21,22,C2,True,True,True,
21,23,C2,True,True,True,
21,24,C2,True,True,True,
21,48,C2,True,False,True,True
25,26,D7,True,True,True,
25,27,D7,True,True,True,
25,28,D7,True,True,True,
25,50,D7,True,False,True,True
33,34,D3,True,True,True,
35,36,D4,True,True,True,
35,45,D4,True,True,True,
37,38,C3,True,True,True,
37,46,C3,True,True,True,
39,40,C5,True,True,True,
