number,id,arm,stage,final_UB,final_LB,certificate,first_verified_feasible_process_seconds,first_accepted_final_UB_process_seconds,first_accepted_exact_zero_process_seconds,process_exit_seconds,after_accepted_final_UB_to_exit_seconds,timing_scope
18,full_micro,off,full_micro_v2,0.20833333333333331,0.20833333333333334,True,0.0021621,0.0643044,,0.0692869,0.004982500000000001,internal process clock; accepted original witness; native discovery separately rounded
19,full_micro,joint,full_micro_v2,0.20833333333333331,0.20833333333333334,True,0.0019818,0.0838538,,0.0893695,0.005515699999999998,internal process clock; accepted original witness; native discovery separately rounded
20,warm_micro,warm-joint,warm_micro_v3,0.20833333333333331,0.20833333333333331,True,0.0019681,0.0670658,,0.4680795,0.4010137,internal process clock; accepted original witness; native discovery separately rounded
21,C2,warm-off,warm_dev_v3,0.8299634131717752,0.8299634029496857,True,0.0020762,2.6647863,,526.2446594,523.5798731000001,internal process clock; accepted original witness; native discovery separately rounded
22,C2,warm-q,warm_dev_v3,0.8299634131717752,0.829963413171775,True,0.0021407,2.6467698,,573.6112676,570.9644978,internal process clock; accepted original witness; native discovery separately rounded
23,C2,warm-sep,warm_dev_v3,0.8299634131717752,0.8299634107626634,True,0.0020608,2.6369421,,324.9933267,322.3563846,internal process clock; accepted original witness; native discovery separately rounded
24,C2,warm-joint,warm_dev_v3,0.8299634131717752,0.8299634128115423,True,0.0020889,2.6224312,,397.1356044,394.5131732,internal process clock; accepted original witness; native discovery separately rounded
25,D7,warm-off,warm_dev_v3,0.21564407531579505,0.19772972251984766,False,0.0023286,571.9838355,,1197.2029208,,internal process clock; accepted original witness; native discovery separately rounded
26,D7,warm-q,warm_dev_v3,0.21564407531579505,0.19630263362245037,False,0.0024496,567.5099969,,1197.101628,,internal process clock; accepted original witness; native discovery separately rounded
27,D7,warm-sep,warm_dev_v3,0.21564407531579505,0.1962829153561732,False,0.002566,569.2710986,,1197.1113643,,internal process clock; accepted original witness; native discovery separately rounded
28,D7,warm-joint,warm_dev_v3,0.21564407531579505,0.19623822063762975,False,0.0024302,569.8937219,,1197.1252338,,internal process clock; accepted original witness; native discovery separately rounded
