number,id,arm,stage,leaf,kind,native_status,seconds,work,nodes,simplex_iterations,call_work_per_node_including_root,call_seconds_per_node_including_root
18,full_micro,off,full_micro_v2,L0,LP,OPTIMAL,0.0009999275207519531,0.00040544452377261114,0.0,16.0,,
18,full_micro,off,full_micro_v2,L0.0,LP,OPTIMAL,0.0009999275207519531,0.0004093206724375535,0.0,18.0,,
18,full_micro,off,full_micro_v2,L0.1,LP,OPTIMAL,0.0009999275207519531,0.0003853916249302318,0.0,13.0,,
18,full_micro,off,full_micro_v2,L0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0.002000093460083008,0.0005441229127906977,0.0,0.0,,
18,full_micro,off,full_micro_v2,L0,MIP,OPTIMAL,0.0,0.0001788898125000001,0.0,0.0,,
19,full_micro,joint,full_micro_v2,L0,LP,OPTIMAL,0.0009999275207519531,0.00043967334358598135,0.0,16.0,,
19,full_micro,joint,full_micro_v2,L0.0,LP,OPTIMAL,0.0009999275207519531,0.00044319931352676095,0.0,18.0,,
19,full_micro,joint,full_micro_v2,L0.1,LP,OPTIMAL,0.0009999275207519531,0.00042149808439852053,0.0,13.0,,
19,full_micro,joint,full_micro_v2,L0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0.0019998550415039062,0.0006033408552948739,0.0,0.0,,
19,full_micro,joint,full_micro_v2,L0,MIP,OPTIMAL,0.0010001659393310547,0.00019482981250000007,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0,LP,OPTIMAL,0.0010001659393310547,0.00033724729587765765,0.0,17.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.0,LP,INFEASIBLE,0.0,4.32275e-05,0.0,0.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1,LP,OPTIMAL,0.0009999275207519531,0.00042228507939016556,0.0,20.0,,
20,warm_micro,warm-joint,warm_micro_v3,L0.1.0,LP,OPTIMAL,0.0009999275207519531,0.00041830621303204927,0.0,19.0,,
