id,mode,model_sha256,q_present,time_present,inherited_off_identical
D3,off,66d0428e14ffd3e31764d324d6cd00d23f2eb3b3053d77f32178df87d7f630e5,False,False,True
D3,q,58e33063131c623d00670600717b1fab8f08aa03f105c8e83c5e19df902d85ba,True,False,False
D3,t,eb8c021365e771f2cae7c01b979c5c3a8513fa495c0630abc01fec6d55ad6d01,False,True,False
D3,sep,38ac22dc3343095ca384ad38664cb4df203f44846a1dcf045b85d604bd74dd16,True,True,False
D3,joint,8d54f539b3ebe7fd9ad1924e232603d676f5504acb0968a3451d8eeb2ea5b68f,True,True,False
D4,off,33e165ce2552c44f0787b696542f57aeee981aa404a3f93c70d0feb926ae2601,False,False,True
D4,q,db5566ec7eaf14991305ba884d7378c11e89ecbd20217c3f671c810afc361545,True,False,False
D4,t,b9ca957268dcbea357dc81da89e1d3d49f1ead96177f38072e566122390f4352,False,True,False
D4,sep,ef57ec880dfeef5695cdae5e2e087d2648f3f1b08cf7bbe3706bf3f2721d432c,True,True,False
D4,joint,e5c4d0f3b4c0a1e76ce627564f35a63caafb968b7a5a66f29285b816d5dacda1,True,True,False
D6,off,0e0352cd7553f969411cb27961db95ea5483743e2623d32fb6a43693a8a674ec,False,False,False
D6,q,d892637a07e611f342e283c4c58017b5f61d367f5326fc5ecc7b285fde4141b8,True,False,False
D6,t,c74680898d3a0dca0256222f475f04be0a1de37de39b5833bd9ad61db30895c1,False,True,False
D6,sep,d7f3191ee888e8be2823f015e3b1a9ddb58a167cd4ec279375209830214adaaf,True,True,False
D6,joint,34ba3bff9f836a787c4f5abdc0e283bbe9e213f11d02b9fac6f6d5bef40c39e5,True,True,False
D7,off,a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,False,False,True
D7,q,5a7d3ef752ac5b51a1a894b1287541b085391b3d2344264565137f026935d851,True,False,False
D7,t,d9c00354cb816db800b50e477b0f866788202000a21b247f68254e25a4bd63a5,False,True,False
D7,sep,27ec793e3f4991119b864cb6f85f4f738f34c9de94af1a80c70d076c97ab0315,True,True,False
D7,joint,da8ebcf04f95bf217f0d9ea67f33b52ac4571677d2a4cde1d95ced63a352ff2c,True,True,False
C2,off,3d527037a19d11e73bda30506ae934ec704d4f78d60e50051da7216d25694d5a,False,False,False
C2,q,7e246a05c50f37c6fb12db58de970efc363e5333a0b27679bb421a67fd047688,True,False,False
C2,t,e255265ca9aff10e91c711b8728c6cf62987cb9b9e900ed06732bbbf8ff0b64c,False,True,False
C2,sep,6fa61cf576b9510e6793f3ff6dd2d51037b69349bbbbf56eff0598a6573badb7,True,True,False
C2,joint,8948e38cb9a618d7710188737b8deb5d15091863baafe4ff9acf5c5ba42726d2,True,True,False
C3,off,33230f48b393061eacec516dcb5723c7612f8ba50037d32c5ca7884ca73770d6,False,False,False
C3,q,56504a107fc97afaceeecd16ae750785ab9cc3fe023322e851194d2f445e00da,True,False,False
C3,t,c50cbca5c5d34a1e8216bc199fc255af1d7a0603e0622f773c078da85911126a,False,True,False
C3,sep,fa20d2f7219db652cbc6ee3e063ef4093116b3fad38907d6ac3173ae9b0658d3,True,True,False
C3,joint,607d0870e834d07935c53a51f94d477a6019f43c72b3fbf58acc68f6c0460f5b,True,True,False
C5,off,86da372fff5e16b338d442829f865c098079524f408ea8f0e3e7fb3836fcb2ba,False,False,False
C5,q,29c9f1f7cd99732ba3ff9e2fad55b69c7c22fdc0cfae7d9d325f9e31857c683c,True,False,False
C5,t,6c0d77dedb1c118e4ae05fa7e7679f551eca112d83fcd2f2d8e2d16b11eec9f1,False,True,False
C5,sep,3ff8620e0ca9539b8b5b1ebe459eee4ed5eeeafaea163f671f0b4d5feb3be6da,True,True,False
C5,joint,c38f65296e2f40716f26972d66a272a26628a255201102edd203bf49d07fa804,True,True,False
