variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
baseline_300_v12_m2_forced,300,7,0,aggregate,1,2,0,2,0,0,0,0,0,0,0,2,0,2,1,-0.042533125
baseline_300_v12_m2_forced,300,7,0,aggregate,2,19,0,19,0,0,0,0,0,0,0,317,0,19,18,-0.0738858951299
baseline_300_v12_m2_forced,300,7,0,aggregate,3,185,0,185,0,0,0,0,0,0,0,8865,18482,185,185,-0.0719243578981
baseline_300_v12_m2_forced,300,7,0,aggregate,4,1662,0,1662,0,0,0,0,0,0,0,221395,249631,1662,1637,-0.071185098726
baseline_300_v12_m2_forced,300,7,0,aggregate,5,13293,0,13293,0,0,0,0,0,0,0,2947643,1852352,13293,11231,-0.0679995617483
baseline_300_v12_m2_forced,300,7,0,aggregate,6,93049,0,93049,0,0,0,0,0,0,0,24578924,10208723,93049,57858,-0.065418934717
baseline_300_v12_m2_forced,300,7,0,aggregate,7,558293,0,558293,0,0,0,0,0,0,0,139832499,43863999,556627,253793,-0.0610721682113
baseline_300_v12_m2_forced,300,7,0,aggregate,8,2790219,0,2790219,1242,0,0,0,0,0,0,538889015,138866554,2655930,932070,-0.0566453903598
baseline_300_v12_m2_forced,300,7,0,aggregate,9,11013431,0,11013431,147443,0,0,0,0,0,0,1308705206,294888799,7159032,1859677,-0.0510083606098
baseline_300_v12_m2_forced,300,7,0,aggregate,10,29940473,0,29940473,3099818,0,0,0,0,0,0,1786972929,372244907,10358725,1731324,-0.0454079538645
baseline_300_v12_m2_forced,300,7,0,aggregate,11,42922611,0,42922611,16958334,0,0,0,0,0,0,1198814332,234639942,3332738,268533,-0.0406215792281
baseline_300_v12_m2_forced,300,7,0,aggregate,12,21484445,0,21484445,21438166,0,0,0,0,0,0,296369330,53156444,519671,0,0.0279079025714
