leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.22500000000000001,0,1.0928844230662083,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.22500000000000001,0.45000000000000001,0.22500000000000001,0.86158321318341802,replaced,1,1,0,0.67716423658880376,0,1,1,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L2,"",0,-1,0.45000000000000001,0.67500000000000004,0.45000000000000001,1.005915738682942,closed,1,1,0,0.86130918995614292,1,1,1,0,"native_terminal_mip_optimal","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound;native_terminal_mip_bound"
L3,"",0,-1,0.67500000000000004,0.90000000000000002,0.67500000000000004,1.0738757544444444,open,1,1,0,1.0738757544444444,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L1.0,"L1",1,0,0.22500000000000001,0.33750000000000002,0.86158321318341802,1.0059157404995958,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L1.1,"L1",1,1,0.33750000000000002,0.45000000000000001,0.86158321318341802,0.88743392406148447,replaced,1,1,0,0.7672410853907039,0,1,1,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound"
L1.1.0,"L1.1",2,0,0.33750000000000002,0.39375000000000004,0.88743392406148447,1.0059157404995958,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L1.1.1,"L1.1",2,1,0.39375000000000004,0.45000000000000001,0.88743392406148447,0.88743392406148447,replaced,1,1,0,0.81396512232318141,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L1.1.1.0,"L1.1.1",3,0,0.39375000000000004,0.421875,0.88743392406148447,1.0059157404995958,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L1.1.1.1,"L1.1.1",3,1,0.421875,0.45000000000000001,0.88743392406148447,1e+100,empty,1,1,0,0.83776382047713105,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound"
