instance,seed,run_id,mode,label,objective,G,P,route_count,served_station_count,total_pickup,total_drop,depot_unload,route_durations,verifier_passed,runtime,accepted_as_best,exported_incumbent_path
gcap_smoke_V4_M1.txt,20260626,64,hga-tgbc,seeded_tgbc_random_seed_20270716,0.143333,0.0833333,0.4,1,4,4,2,2,"561",true,0.0042114,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,65,hga-tgbc,seeded_tgbc_local_seed_20270716,0,0,0,1,4,4,4,0,"572",true,0.0042517,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,66,hga-tgbc,seeded_tgbc_q_polish_seed_20270716,0,0,0,1,4,4,4,0,"563",true,0.0043652,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,67,hga-tgbc,seeded_tgbc_random_seed_20271725,0,0,0,1,4,4,4,0,"577",true,0.0043739,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,68,hga-tgbc,seeded_tgbc_local_seed_20271725,0,0,0,1,4,4,4,0,"577",true,0.0045031,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,69,hga-tgbc,seeded_tgbc_q_polish_seed_20271725,0,0,0,1,4,4,4,0,"563",true,0.0045599,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,70,hga-tgbc,seeded_tgbc_random_seed_20272734,0,0,0,1,4,4,4,0,"563",true,0.0045689,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,71,hga-tgbc,seeded_tgbc_local_seed_20272734,0,0,0,1,4,4,4,0,"563",true,0.0046882,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,72,hga-tgbc,seeded_tgbc_q_polish_seed_20272734,0,0,0,1,4,4,4,0,"563",true,0.004745,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,73,hga-tgbc,hga_verified_operation_portfolio_bridge,0,0,0,1,4,4,4,0,"577",true,0.0065611,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,74,hga-tgbc,hga_route_population_seed_0,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0065827,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,75,hga-tgbc,hga_route_population_seed_1,0,0,0,1,4,4,4,0,"577",true,0.006596,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,76,hga-tgbc,hga_route_population_seed_2,0,0,0,1,4,4,4,0,"577",true,0.0066095,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,77,hga-tgbc,hga_route_population_seed_3,0.135,0.075,0.4,1,4,3,3,0,"457",true,0.0066195,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,78,hga-tgbc,hga_route_population_seed_4,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.00663,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,79,hga-tgbc,hga_route_population_seed_5,0.27625,0.15625,0.8,1,2,4,0,4,"548",true,0.0066401,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,80,hga-tgbc,hga_route_population_seed_6,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0066501,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,81,hga-tgbc,hga_route_population_seed_7,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.0066616,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,82,hga-tgbc,hga_route_population_seed_8,0.192941,0.102941,0.6,1,3,4,1,3,"553",true,0.0066715,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,83,hga-tgbc,hga_route_population_seed_9,0.182105,0.0921053,0.6,1,3,3,2,1,"433",true,0.0066813,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,84,hga-tgbc,hga_route_population_seed_10,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.0066909,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,85,hga-tgbc,hga_route_population_seed_11,0,0,0,1,4,4,4,0,"581",true,0.0066982,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,86,hga-tgbc,hga_route_child_gen_0,0.222353,0.132353,0.6,1,3,4,1,3,"556",true,0.0067267,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,87,hga-tgbc,hga_route_child_gen_0,0.135,0.075,0.4,1,4,3,3,0,"457",true,0.0067353,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,88,hga-tgbc,hga_route_child_gen_0,0,0,0,1,4,4,4,0,"563",true,0.0067436,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,89,hga-tgbc,hga_guided_education_gen_0,0,0,0,1,4,4,4,0,"563",true,0.0068213,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,90,hga-tgbc,hga_route_child_gen_0,0.192941,0.102941,0.6,1,3,4,1,3,"553",true,0.0068307,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,91,hga-tgbc,hga_route_child_gen_0,0.27625,0.15625,0.8,1,2,4,0,4,"548",true,0.0068402,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,92,hga-tgbc,hga_guided_education_gen_0,0.27625,0.15625,0.8,1,2,4,0,4,"548",true,0.0068692,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,93,hga-tgbc,hga_route_child_gen_0,0.192941,0.102941,0.6,1,3,4,1,3,"553",true,0.0068805,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,94,hga-tgbc,hga_guided_education_gen_0,0.0694737,0.0394737,0.2,1,3,4,3,1,"555",true,0.0069233,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,95,hga-tgbc,hga_route_child_gen_0,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0069397,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,96,hga-tgbc,hga_route_child_gen_0,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.006953,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,97,hga-tgbc,hga_route_child_gen_0,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0069742,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,98,hga-tgbc,hga_guided_education_gen_0,0.0694737,0.0394737,0.2,1,3,4,3,1,"564",true,0.007001,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,99,hga-tgbc,hga_route_child_gen_0,0.27625,0.15625,0.8,1,2,4,0,4,"548",true,0.0070122,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,100,hga-tgbc,hga_route_child_gen_1,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.0070236,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,101,hga-tgbc,hga_guided_education_gen_1,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.0070457,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,102,hga-tgbc,hga_route_child_gen_1,0.222353,0.132353,0.6,1,3,4,1,3,"556",true,0.0070565,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
