"method","exit_code","seconds","result_file","log_file"
"pricing","0","0.175","results\optimization_update_round13\raw\v4_pricing.json","results\optimization_update_round13\raw\v4_pricing.log"
"pricing-branch","0","0.018","results\optimization_update_round13\raw\v4_pricing-branch.json","results\optimization_update_round13\raw\v4_pricing-branch.log"
"cuts","0","0.017","results\optimization_update_round13\raw\v4_cuts.json","results\optimization_update_round13\raw\v4_cuts.log"
"branching","0","0.017","results\optimization_update_round13\raw\v4_branching.json","results\optimization_update_round13\raw\v4_branching.log"
"master","0","0.018","results\optimization_update_round13\raw\v4_master.json","results\optimization_update_round13\raw\v4_master.log"
"cg","0","0.017","results\optimization_update_round13\raw\v4_cg.json","results\optimization_update_round13\raw\v4_cg.log"
"gcap-cg","0","0.1","results\optimization_update_round13\raw\v4_gcap-cg.json","results\optimization_update_round13\raw\v4_gcap-cg.log"
"gcap-tree","0","0.087","results\optimization_update_round13\raw\v4_gcap-tree.json","results\optimization_update_round13\raw\v4_gcap-tree.log"
"gcap-frontier","0","0.019","results\optimization_update_round13\raw\v4_gcap-frontier.json","results\optimization_update_round13\raw\v4_gcap-frontier.log"
"dominance-test","0","0.016","results\optimization_update_round13\raw\v4_dominance-test.json","results\optimization_update_round13\raw\v4_dominance-test.log"
"support-pruning-test","0","0.016","results\optimization_update_round13\raw\v4_support-pruning-test.json","results\optimization_update_round13\raw\v4_support-pruning-test.log"
"route-mask-support-test","0","0.167","results\optimization_update_round13\raw\v4_route-mask-support-test.json","results\optimization_update_round13\raw\v4_route-mask-support-test.log"
"route-mask-operation-budget-test","0","0.158","results\optimization_update_round13\raw\v4_route-mask-operation-budget-test.json","results\optimization_update_round13\raw\v4_route-mask-operation-budget-test.log"
"incumbent-import-test","0","0.017","results\optimization_update_round13\raw\v4_incumbent-import-test.json","results\optimization_update_round13\raw\v4_incumbent-import-test.log"
"route-pool-incumbent-test","0","0.017","results\optimization_update_round13\raw\v4_route-pool-incumbent-test.json","results\optimization_update_round13\raw\v4_route-pool-incumbent-test.log"
"pickup-drop-compat-flow-test","0","0.152","results\optimization_update_round13\raw\v4_pickup-drop-compat-flow-test.json","results\optimization_update_round13\raw\v4_pickup-drop-compat-flow-test.log"
"pickup-drop-transfer-cap-test","0","0.149","results\optimization_update_round13\raw\v4_pickup-drop-transfer-cap-test.json","results\optimization_update_round13\raw\v4_pickup-drop-transfer-cap-test.log"
"vehicle-indexed-relaxation-test","0","0.156","results\optimization_update_round13\raw\v4_vehicle-indexed-relaxation-test.json","results\optimization_update_round13\raw\v4_vehicle-indexed-relaxation-test.log"
"vehicle-indexed-transfer-flow-test","0","0.148","results\optimization_update_round13\raw\v4_vehicle-indexed-transfer-flow-test.json","results\optimization_update_round13\raw\v4_vehicle-indexed-transfer-flow-test.log"
"adaptive-frontier-split-test","0","0.016","results\optimization_update_round13\raw\v4_adaptive-frontier-split-test.json","results\optimization_update_round13\raw\v4_adaptive-frontier-split-test.log"
"inventory-branching-test","0","0.016","results\optimization_update_round13\raw\v4_inventory-branching-test.json","results\optimization_update_round13\raw\v4_inventory-branching-test.log"
"operation-mode-branching-test","0","0.019","results\optimization_update_round13\raw\v4_operation-mode-branching-test.json","results\optimization_update_round13\raw\v4_operation-mode-branching-test.log"
"pricing-closure-audit-test","0","0.017","results\optimization_update_round13\raw\v4_pricing-closure-audit-test.json","results\optimization_update_round13\raw\v4_pricing-closure-audit-test.log"
"resume-state-test","0","0.025","results\optimization_update_round13\raw\v4_resume-state-test.json","results\optimization_update_round13\raw\v4_resume-state-test.log"
"pricing-verifier-test","0","0.016","results\optimization_update_round13\raw\v4_pricing-verifier-test.json","results\optimization_update_round13\raw\v4_pricing-verifier-test.log"
"iterative-closure-test","0","0.017","results\optimization_update_round13\raw\v4_iterative-closure-test.json","results\optimization_update_round13\raw\v4_iterative-closure-test.log"
"certificate-basis-test","0","0.016","results\optimization_update_round13\raw\v4_certificate-basis-test.json","results\optimization_update_round13\raw\v4_certificate-basis-test.log"
"station-set-test","0","0.017","results\optimization_update_round13\raw\v4_station-set-test.json","results\optimization_update_round13\raw\v4_station-set-test.log"
"ng-dssr-pricing-test","0","0.017","results\optimization_update_round13\raw\v4_ng-dssr-pricing-test.json","results\optimization_update_round13\raw\v4_ng-dssr-pricing-test.log"
"dssr-exactness-test","0","0.018","results\optimization_update_round13\raw\v4_dssr-exactness-test.json","results\optimization_update_round13\raw\v4_dssr-exactness-test.log"
"dual-stabilization-test","0","0.016","results\optimization_update_round13\raw\v4_dual-stabilization-test.json","results\optimization_update_round13\raw\v4_dual-stabilization-test.log"
"external-incumbent-test","0","0.022","results\optimization_update_round13\raw\v4_external-incumbent-test.json","results\optimization_update_round13\raw\v4_external-incumbent-test.log"
"large-instance-mode-test","0","0.016","results\optimization_update_round13\raw\v4_large-instance-mode-test.json","results\optimization_update_round13\raw\v4_large-instance-mode-test.log"
"bpc-hybrid-pricing-test","0","0.088","results\optimization_update_round13\raw\v4_bpc-hybrid-pricing-test.json","results\optimization_update_round13\raw\v4_bpc-hybrid-pricing-test.log"
"large-lb-test","0","0.017","results\optimization_update_round13\raw\v4_large-lb-test.json","results\optimization_update_round13\raw\v4_large-lb-test.log"
