"name","exit_code","seconds","result_file","log_file","progress_log"
"v12_m2_focus_exact_300s","0","166.04","results\optimization_update_round13\raw\v12_m2_focus_exact_300s.json","results\optimization_update_round13\raw\v12_m2_focus_exact_300s.log","results\optimization_update_round13\raw\progress_v12_m2_focus_exact_300s.csv"
"v12_m2_focus_hybrid_300s","0","165.882","results\optimization_update_round13\raw\v12_m2_focus_hybrid_300s.json","results\optimization_update_round13\raw\v12_m2_focus_hybrid_300s.log","results\optimization_update_round13\raw\progress_v12_m2_focus_hybrid_300s.csv"
"v12_m2_focus_hybrid_smooth_300s","0","165.911","results\optimization_update_round13\raw\v12_m2_focus_hybrid_smooth_300s.json","results\optimization_update_round13\raw\v12_m2_focus_hybrid_smooth_300s.log","results\optimization_update_round13\raw\progress_v12_m2_focus_hybrid_smooth_300s.csv"
"v12_m2_full_exact_300s","0","302.381","results\optimization_update_round13\raw\v12_m2_full_exact_300s.json","results\optimization_update_round13\raw\v12_m2_full_exact_300s.log","results\optimization_update_round13\raw\progress_v12_m2_full_exact_300s.csv"
"v12_m2_full_hybrid_300s","0","308.793","results\optimization_update_round13\raw\v12_m2_full_hybrid_300s.json","results\optimization_update_round13\raw\v12_m2_full_hybrid_300s.log","results\optimization_update_round13\raw\progress_v12_m2_full_hybrid_300s.csv"
"v12_m1_full_exact_300s","0","302.032","results\optimization_update_round13\raw\v12_m1_full_exact_300s.json","results\optimization_update_round13\raw\v12_m1_full_exact_300s.log","results\optimization_update_round13\raw\progress_v12_m1_full_exact_300s.csv"
"v12_m1_full_hybrid_300s","0","302.221","results\optimization_update_round13\raw\v12_m1_full_hybrid_300s.json","results\optimization_update_round13\raw\v12_m1_full_hybrid_300s.log","results\optimization_update_round13\raw\progress_v12_m1_full_hybrid_300s.csv"
