"name","exit_code","seconds","result_file","log_file","progress_log"
"v20_hybrid_300s","0","336.517","results\optimization_update_round13\raw\v20_hybrid_300s.json","results\optimization_update_round13\raw\v20_hybrid_300s.log","results\optimization_update_round13\raw\progress_v20_hybrid_300s.csv"
"v50_hybrid_pricing_300s","0","0.02","results\optimization_update_round13\raw\v50_hybrid_pricing_300s.json","results\optimization_update_round13\raw\v50_hybrid_pricing_300s.log","results\optimization_update_round13\raw\progress_v50_hybrid_pricing_300s.csv"
"v100_hybrid_pricing_300s","0","0.023","results\optimization_update_round13\raw\v100_hybrid_pricing_300s.json","results\optimization_update_round13\raw\v100_hybrid_pricing_300s.log","results\optimization_update_round13\raw\progress_v100_hybrid_pricing_300s.csv"
"v50_external_incumbent_test","0","0.022","results\optimization_update_round13\raw\v50_external_incumbent_test.json","results\optimization_update_round13\raw\v50_external_incumbent_test.log","results\optimization_update_round13\raw\progress_v50_external_incumbent_test.csv"
"v100_large_lb_test","0","0.019","results\optimization_update_round13\raw\v100_large_lb_test.json","results\optimization_update_round13\raw\v100_large_lb_test.log","results\optimization_update_round13\raw\progress_v100_large_lb_test.csv"
