"name","exit_code","seconds","result_file","log_file","progress_log"
"v4_gcap_frontier_hybrid_cert","0","4.705","results\optimization_update_round13\raw\v4_gcap_frontier_hybrid_cert.json","results\optimization_update_round13\raw\v4_gcap_frontier_hybrid_cert.log","results\optimization_update_round13\raw\progress_v4_gcap_frontier_hybrid_cert.csv"
"v4_bpc_hybrid_after_engine_fix","0","0.229","results\optimization_update_round13\raw\v4_bpc_hybrid_after_engine_fix.json","results\optimization_update_round13\raw\v4_bpc_hybrid_after_engine_fix.log","results\optimization_update_round13\raw\progress_v4_bpc_hybrid_after_engine_fix.csv"
"v12_m2_focus_hybrid_300s","0","39.374","results\optimization_update_round13\raw\v12_m2_focus_hybrid_300s.json","results\optimization_update_round13\raw\v12_m2_focus_hybrid_300s.log","results\optimization_update_round13\raw\progress_v12_m2_focus_hybrid_300s.csv"
"v12_m2_focus_hybrid_smooth_300s","0","39.496","results\optimization_update_round13\raw\v12_m2_focus_hybrid_smooth_300s.json","results\optimization_update_round13\raw\v12_m2_focus_hybrid_smooth_300s.log","results\optimization_update_round13\raw\progress_v12_m2_focus_hybrid_smooth_300s.csv"
"v12_m2_full_hybrid_300s","0","308.287","results\optimization_update_round13\raw\v12_m2_full_hybrid_300s.json","results\optimization_update_round13\raw\v12_m2_full_hybrid_300s.log","results\optimization_update_round13\raw\progress_v12_m2_full_hybrid_300s.csv"
"v12_m1_full_hybrid_300s","0","301.739","results\optimization_update_round13\raw\v12_m1_full_hybrid_300s.json","results\optimization_update_round13\raw\v12_m1_full_hybrid_300s.log","results\optimization_update_round13\raw\progress_v12_m1_full_hybrid_300s.csv"
