sequence,timestamp,instance,arm,budget_seconds,run_id,skipped_existing,return_code,wall_seconds,engineering_blocker,run_order
1,2026-07-13T22:16:00+08:00,V12_M1,plain_cplex,300,official__V12_M1__plain_cplex__300s,False,0,181.79931580019183,,1
2,2026-07-13T22:19:37+08:00,V12_M1,tailored_legacy_scheduler_static,300,official__V12_M1__tailored_legacy_scheduler_static__300s,False,0,217.02614880003966,,2
3,2026-07-13T22:21:18+08:00,V12_M1,tailored_controlling_scheduler_static,300,official__V12_M1__tailored_controlling_scheduler_static__300s,False,0,100.25573459989391,,3
4,2026-07-13T22:26:18+08:00,V12_M2,plain_cplex,300,official__V12_M2__plain_cplex__300s,False,0,300.14657200011425,,4
5,2026-07-13T22:29:40+08:00,V12_M2,tailored_legacy_scheduler_static,300,official__V12_M2__tailored_legacy_scheduler_static__300s,False,0,200.9689379998017,,5
6,2026-07-13T22:34:34+08:00,V12_M2,tailored_controlling_scheduler_static,300,official__V12_M2__tailored_controlling_scheduler_static__300s,False,0,294.2242397000082,,6
7,2026-07-13T22:39:35+08:00,tight_T_seed3101,plain_cplex,300,official__tight_T_seed3101__plain_cplex__300s,False,0,300.16040510009043,,7
8,2026-07-13T22:40:52+08:00,tight_T_seed3101,tailored_legacy_scheduler_static,300,official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,False,0,76.40138980001211,,8
9,2026-07-13T22:45:47+08:00,tight_T_seed3101,tailored_controlling_scheduler_static,300,official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,False,0,294.31288330000825,,9
10,2026-07-13T22:50:47+08:00,high_imbalance_seed3202,plain_cplex,300,official__high_imbalance_seed3202__plain_cplex__300s,False,0,300.16661190008745,,10
11,2026-07-13T22:55:42+08:00,high_imbalance_seed3202,tailored_legacy_scheduler_static,300,official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,False,0,294.3144898000173,,11
12,2026-07-13T23:00:37+08:00,high_imbalance_seed3202,tailored_controlling_scheduler_static,300,official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,False,0,294.3015231001191,,12
13,2026-07-13T23:05:37+08:00,moderate_seed3301,plain_cplex,300,official__moderate_seed3301__plain_cplex__300s,False,0,300.26201050006784,,13
14,2026-07-13T23:10:32+08:00,moderate_seed3301,tailored_legacy_scheduler_static,300,official__moderate_seed3301__tailored_legacy_scheduler_static__300s,False,0,294.22506329999305,,14
15,2026-07-13T23:15:27+08:00,moderate_seed3301,tailored_controlling_scheduler_static,300,official__moderate_seed3301__tailored_controlling_scheduler_static__300s,False,0,294.2270418999251,,15
16,2026-07-13T23:20:27+08:00,moderate_seed3302,plain_cplex,300,official__moderate_seed3302__plain_cplex__300s,False,0,300.1493770999368,,16
17,2026-07-13T23:25:22+08:00,moderate_seed3302,tailored_legacy_scheduler_static,300,official__moderate_seed3302__tailored_legacy_scheduler_static__300s,False,0,294.2046816998627,,17
18,2026-07-13T23:30:16+08:00,moderate_seed3302,tailored_controlling_scheduler_static,300,official__moderate_seed3302__tailored_controlling_scheduler_static__300s,False,0,294.1613763999194,,18
19,2026-07-13T23:35:17+08:00,high_imbalance_seed3201,plain_cplex,300,official__high_imbalance_seed3201__plain_cplex__300s,False,0,300.1453682000283,,19
20,2026-07-13T23:40:11+08:00,high_imbalance_seed3201,tailored_legacy_scheduler_static,300,official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,False,0,294.28703110013157,,20
