run_id,pre_exactebrp_count,pre_cplex_count,post_exactebrp_count,post_cplex_count,serial_no_overlap,cplex_threads,concurrent_solver_processes,background_solver_detected,incumbent_source_policy,process_start_time,process_end_time,resource_stopped,bound_used_in_comparison,certified_original_problem
official__V12_M1__plain_cplex__300s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-13T22:12:58+08:00,2026-07-13T22:16:00+08:00,False,True,True
official__V12_M1__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T22:16:00+08:00,2026-07-13T22:19:37+08:00,False,True,True
official__V12_M1__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T22:19:37+08:00,2026-07-13T22:21:18+08:00,False,True,True
official__V12_M2__plain_cplex__300s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-13T22:21:18+08:00,2026-07-13T22:26:18+08:00,False,True,False
official__V12_M2__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T22:26:19+08:00,2026-07-13T22:29:40+08:00,False,True,True
official__V12_M2__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T22:29:40+08:00,2026-07-13T22:34:34+08:00,False,True,False
official__tight_T_seed3101__plain_cplex__300s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-13T22:34:35+08:00,2026-07-13T22:39:35+08:00,False,True,False
official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T22:39:35+08:00,2026-07-13T22:40:52+08:00,False,True,True
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T22:40:52+08:00,2026-07-13T22:45:47+08:00,False,True,False
official__high_imbalance_seed3202__plain_cplex__300s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-13T22:45:47+08:00,2026-07-13T22:50:47+08:00,False,True,False
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T22:50:47+08:00,2026-07-13T22:55:42+08:00,False,True,False
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T22:55:42+08:00,2026-07-13T23:00:37+08:00,False,True,False
official__moderate_seed3301__plain_cplex__300s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-13T23:00:37+08:00,2026-07-13T23:05:37+08:00,False,True,False
official__moderate_seed3301__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T23:05:37+08:00,2026-07-13T23:10:32+08:00,False,True,False
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T23:10:32+08:00,2026-07-13T23:15:27+08:00,False,True,False
official__moderate_seed3302__plain_cplex__300s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-13T23:15:27+08:00,2026-07-13T23:20:27+08:00,False,True,False
official__moderate_seed3302__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T23:20:27+08:00,2026-07-13T23:25:22+08:00,False,True,False
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T23:25:22+08:00,2026-07-13T23:30:16+08:00,False,True,False
official__high_imbalance_seed3201__plain_cplex__300s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-13T23:30:16+08:00,2026-07-13T23:35:17+08:00,False,True,False
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T23:35:17+08:00,2026-07-13T23:40:11+08:00,False,True,False
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T23:40:12+08:00,2026-07-13T23:45:06+08:00,False,True,False
official__tight_T_seed3102__plain_cplex__300s,0,0,0,0,True,1,0,False,benchmark_same_process,2026-07-13T23:45:06+08:00,2026-07-13T23:50:07+08:00,False,True,False
official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T23:50:07+08:00,2026-07-13T23:55:01+08:00,False,True,False
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,0,0,0,0,True,1,0,False,same_run_verifier_gated,2026-07-13T23:55:02+08:00,2026-07-13T23:59:56+08:00,False,True,False
official__V12_M1__plain_cplex__900s,0,0,0,0,True,,,,,,,,,
official__V12_M1__tailored_legacy_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__V12_M1__tailored_controlling_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__V12_M2__plain_cplex__900s,0,0,0,0,True,,,,,,,,,
official__V12_M2__tailored_legacy_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__V12_M2__tailored_controlling_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__tight_T_seed3101__plain_cplex__900s,0,0,0,0,True,,,,,,,,,
official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__high_imbalance_seed3202__plain_cplex__900s,0,0,0,0,True,,,,,,,,,
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__moderate_seed3301__plain_cplex__900s,0,0,0,0,True,,,,,,,,,
official__moderate_seed3301__tailored_legacy_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
official__moderate_seed3302__plain_cplex__900s,0,0,0,0,True,,,,,,,,,
official__moderate_seed3302__tailored_legacy_scheduler_static__900s,0,0,0,0,True,,,,,,,,,
